"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","reLL","weights","model_id","Nparam"
"1"," "," "," "," ","X"," "," "," ","X","X"," ",770.172118308071,0,1,0.282359497871003,209,3
"2"," ","X"," "," "," "," "," "," ","X","X"," ",770.852228597099,0.680110289027652,0.711731073616403,0.200964028565517,145,3
"3"," ","X"," ","X"," "," "," "," ","X","X"," ",772.173568950178,2.00145064210676,0.367612707213226,0.103798939419727,398,4
"4"," "," "," ","X","X"," "," "," ","X","X"," ",772.588546770849,2.41642846277819,0.298730266525524,0.0843493280550177,504,4
"5"," "," "," ","X"," "," "," "," ","X","X"," ",772.940865640463,2.7687473323922,0.250480635159946,0.0707255863701722,194,3
"6"," ","X"," "," ","X"," "," "," ","X","X"," ",772.941155533619,2.76903722554778,0.250444331480188,0.0707153356813847,413,4
"7"," "," "," "," "," "," "," "," ","X","X"," ",773.47622120107,3.30410289299869,0.191656332346378,0.0541159857651214,64,2
"8"," "," "," "," ","X"," ","X"," ","X","X"," ",775.645371634542,5.47325332647131,0.0647885322176165,0.0182936574247655,540,4
"9"," ","X"," ","X","X"," "," "," ","X","X"," ",776.089612425886,5.91749411781495,0.0518838839146728,0.0146499074097444,840,5
"10"," ","X"," "," "," "," ","X"," ","X","X"," ",777.242025099337,7.06990679126648,0.0291601159464687,0.00823363569650511,429,4
"11","X","X"," "," "," "," "," "," ","X","X"," ",777.77490260951,7.60278430143899,0.0223396500381874,0.00630781236739653,265,4
"12"," "," ","X"," ","X"," "," "," ","X","X"," ",777.844858666724,7.67274035865307,0.021571761030604,0.0060909916127946,469,4
"13"," "," "," "," ","X","X"," "," ","X","X"," ",778.636666563919,8.4645482558484,0.0145193341521893,0.00409967190063348,534,4
"14","X"," "," "," ","X"," "," "," ","X","X"," ",778.706483679544,8.53436537147263,0.0140212297711159,0.00395902739770624,329,4
"15"," "," "," "," ","X"," "," "," ","X","X","X",778.734055344069,8.56193703599797,0.0138292617093956,0.00390482339219162,546,4
"16"," "," "," "," ","X"," "," ","X","X","X"," ",778.834683976136,8.66256566806555,0.0131506665420736,0.0037132156014889,543,4
"17"," ","X","X"," "," "," "," "," ","X","X"," ",779.009918627521,8.83780031945048,0.0120474752993318,0.00340171907613263,377,4
"18"," "," "," "," "," "," ","X"," ","X","X"," ",779.01510288172,8.84298457364957,0.0120162871514121,0.00339291280634649,225,3
"19"," ","X"," "," ","X"," ","X"," ","X","X"," ",779.133595612013,8.96147730394182,0.0113250447977357,0.00319773396245527,876,5
"20"," ","X"," "," "," ","X"," "," ","X","X"," ",779.223695858586,9.05157755051505,0.010826171651378,0.00305687239134838,423,4
"21"," ","X"," "," "," "," "," ","X","X","X"," ",779.25354818876,9.08142988068869,0.0106657784317172,0.00301158384238303,432,4
"22"," ","X"," "," "," "," "," "," ","X","X","X",779.578091558274,9.40597325020292,0.00906815344306078,0.00256047925279985,435,4
"23"," "," ","X","X","X"," "," "," ","X","X"," ",779.861670590601,9.6895522825298,0.00786937888702686,0.00222199387109757,910,5
"24"," "," ","X","X"," "," "," "," ","X","X"," ",779.893074044208,9.72095573613672,0.00774678106717193,0.00218737721224326,454,4
"25","X","X"," ","X"," "," "," "," ","X","X"," ",780.018464069532,9.84634576146107,0.00727600827715123,0.00205445004364168,608,5
"26"," "," "," ","X","X"," ","X"," ","X","X"," ",780.03059345983,9.85847515175908,0.00723201504266765,0.00204202813604317,981,5
"27"," ","X","X","X"," "," "," "," ","X","X"," ",780.07901248025,9.90689417217948,0.00705903384430884,0.00199318525173346,790,5
"28"," ","X"," ","X"," "," ","X"," ","X","X"," ",780.22824565189,10.0561273438185,0.00655148411925127,0.00184987376622164,856,5
"29","X","X"," "," ","X"," "," "," ","X","X"," ",780.286895221818,10.1147769137468,0.00636215287294631,0.00179641429058368,623,5
"30"," ","X"," ","X"," "," "," ","X","X","X"," ",780.3373657965,10.1652474884293,0.00620361095596646,0.00175164847451374,859,5
"31"," "," "," ","X"," "," ","X"," ","X","X"," ",780.712148932763,10.5400306246917,0.00514353181288946,0.001452325059971,520,4
"32"," "," "," ","X","X"," "," "," ","X","X","X",780.839145664755,10.6670273566837,0.00482707937565696,0.00136297170869397,987,5
"33"," ","X"," ","X"," "," "," "," ","X","X","X",780.920791168685,10.7486728606141,0.00463399269063497,0.00130845184926559,862,5
"34"," ","X"," ","X"," ","X"," "," ","X","X"," ",780.93164591114,10.7595276030694,0.00460891041900568,0.00130136963164288,850,5
"35"," ","X"," "," ","X"," "," ","X","X","X"," ",780.979427473642,10.8073091655712,0.00450010484861274,0.00127064734542116,879,5
"36"," "," ","X"," "," "," "," "," ","X","X"," ",781.031373531936,10.8592552238654,0.00438472831918955,0.00123806968650713,173,3
"37"," ","X","X"," ","X"," "," "," ","X","X"," ",781.033000662353,10.8608823542824,0.00438116250748723,0.00123706284570536,805,5
"38"," "," "," ","X"," "," "," "," ","X","X","X",781.098303530474,10.9261852224033,0.00424042147074167,0.00119732327724004,526,4
"39"," "," "," ","X","X"," "," ","X","X","X"," ",781.115692078502,10.9435737704306,0.00420371388865836,0.00118695854279493,984,5
"40","X"," "," ","X","X"," "," "," ","X","X"," ",781.328723587264,11.1566052791926,0.00377897435964183,0.00106702930265586,714,5
"41"," "," "," ","X","X","X"," "," ","X","X"," ",781.349490668355,11.1773723602845,0.00373993824343618,0.0010560070844852,975,5
"42"," ","X"," "," ","X","X"," "," ","X","X"," ",781.433248505128,11.2611301970569,0.00358654800156859,0.00101269589281316,870,5
"43"," ","X"," "," ","X"," "," "," ","X","X","X",781.699867785846,11.5277494777754,0.00313892548803887,0.000886305424657147,882,5
"44","X"," "," ","X"," "," "," "," ","X","X"," ",781.701391451809,11.5292731437385,0.0031365350617439,0.000885630465088802,314,4
"45"," "," "," ","X"," ","X"," "," ","X","X"," ",781.70205706164,11.5299387535694,0.00313549138113854,0.000885335771957134,514,4
"46"," "," "," ","X"," "," "," ","X","X","X"," ",781.702560228528,11.5304419204571,0.00313470264263963,0.00088511306415063,523,4
"47"," "," "," "," "," ","X"," "," ","X","X"," ",781.80036555834,11.6282472502694,0.00298509524392304,0.000842869994171229,219,3
"48","X"," "," "," "," "," "," "," ","X","X"," ",782.021217134195,11.8490988261243,0.00267301183811026,0.000754750280412057,109,3
"49"," "," "," "," "," "," "," "," ","X","X","X",782.04359771256,11.8714794044896,0.00264326680083279,0.000746351486622237,231,3
"50"," "," "," "," "," "," "," ","X","X","X"," ",782.185689138579,12.0135708305082,0.00246198974816905,0.000695166189056568,228,3
"51"," "," "," "," ","X","X","X"," ","X","X"," ",782.934242447015,12.7621241389439,0.00169332357398362,0.000478125994083146,1006,5
"52"," "," ","X"," ","X"," ","X"," ","X","X"," ",783.373427487017,13.2013091789458,0.0013594778463379,0.00038386148205872,946,5
"53"," ","X"," ","X","X"," "," ","X","X","X"," ",783.868179989402,13.696061681331,0.00106154398539031,0.000299737026682791,1362,6
"54"," ","X"," ","X","X"," ","X"," ","X","X"," ",783.877744422328,13.7056261142566,0.00105647957148094,0.000298307041314331,1359,6
"55"," ","X","X","X","X"," "," "," ","X","X"," ",783.963808988295,13.7916906802244,0.00101198114459637,0.000285742487843155,1288,6
"56"," "," "," "," ","X"," ","X","X","X","X"," ",783.994289486559,13.8221711784877,0.000996675229070579,0.000281420717220835,1013,5
"57","X","X"," ","X","X"," "," "," ","X","X"," ",784.10941144377,13.9372931356992,0.000940925523295511,0.000265679258291731,1092,6
"58"," "," "," "," ","X"," ","X"," ","X","X","X",784.170692622533,13.9985743144625,0.000912532225758708,0.000257662141056337,1016,5
"59","X"," "," "," ","X"," ","X"," ","X","X"," ",784.268874654318,14.0967563462472,0.00086881688586639,0.000245318699635082,750,5
"60","X","X"," "," "," "," ","X"," ","X","X"," ",784.436265090252,14.2641467821813,0.000799060902985772,0.000225622435335413,639,5
"61"," ","X"," ","X","X"," "," "," ","X","X","X",784.810270293555,14.6381519854839,0.000662774336662074,0.00018714062890169,1365,6
"62"," ","X"," ","X","X","X"," "," ","X","X"," ",784.849964674905,14.6778463668337,0.000649749805741557,0.000183463028890967,1353,6
"63","X","X","X"," "," "," "," "," ","X","X"," ",785.07182219423,14.8997038861595,0.000581527705021325,0.000164199870787898,587,5
"64"," ","X"," "," "," "," ","X","X","X","X"," ",785.234379613311,15.0622613052396,0.000536131735116589,0.000151381887520229,893,5
"65"," ","X"," "," "," ","X","X"," ","X","X"," ",785.399976612672,15.2278583046015,0.000493528893686678,0.000139352570606202,886,5
"66"," ","X","X"," "," "," ","X"," ","X","X"," ",785.425974040378,15.2538557323069,0.00048715516768513,0.000137552888532837,821,5
"67","X"," ","X"," ","X"," "," "," ","X","X"," ",785.931822871508,15.7597045634374,0.000378288932846567,0.000106813473128714,679,5
"68"," ","X"," "," "," "," ","X"," ","X","X","X",785.987678290492,15.815559982421,0.000367870350163021,0.000103871687353661,896,5
"69","X","X"," "," "," "," "," ","X","X","X"," ",786.182428487639,16.0103101795683,0.000333737737738192,9.42340200483604e-05,642,5
"70","X","X"," "," "," ","X"," "," ","X","X"," ",786.216342419047,16.0442241109764,0.000328126269560796,9.26495687114716e-05,633,5
"71"," "," ","X"," ","X","X"," "," ","X","X"," ",786.338772081258,16.1666537731869,0.000308642506850125,8.71481432558487e-05,940,5
"72","X","X"," "," "," "," "," "," ","X","X","X",786.465873130175,16.2937548221037,0.00028963837060343,8.178214488776e-05,645,5
"73"," "," ","X"," ","X"," "," ","X","X","X"," ",786.485322122365,16.313203814294,0.000286835434060691,8.09907091329878e-05,949,5
"74"," ","X"," "," ","X"," ","X","X","X","X"," ",786.590452158309,16.4183338502379,0.000272147345996647,7.68433879625393e-05,1391,6
"75"," "," ","X"," ","X"," "," "," ","X","X","X",786.604515318561,16.4323970104901,0.000270240432292386,7.63049527665207e-05,952,5
"76"," "," ","X"," "," "," ","X"," ","X","X"," ",786.610115834058,16.4379975259875,0.000269484747977088,7.60915781227043e-05,485,4
"77"," "," "," "," "," ","X","X"," ","X","X"," ",786.728114573835,16.5559962657637,0.000254045256179481,7.17320909713486e-05,550,4
"78","X","X"," "," ","X"," ","X"," ","X","X"," ",786.735327378172,16.5632090701013,0.000253130716906058,7.14738621213213e-05,1128,6
"79"," ","X"," "," ","X","X","X"," ","X","X"," ",786.872943268753,16.7008249606826,0.000236299029619533,6.67212753507767e-05,1384,6
"80","X"," "," "," ","X"," "," "," ","X","X","X",787.016311910805,16.8441936027338,0.000219952971281216,6.21058105261993e-05,756,5
"81","X","X","X","X"," "," "," "," ","X","X"," ",787.187982235387,17.0158639273164,0.000201860849124935,5.69973279987308e-05,1042,6
"82"," "," "," "," ","X","X"," "," ","X","X","X",787.194806457493,17.0226881494218,0.00020117325123782,5.6803178204588e-05,1012,5
"83","X"," "," "," ","X","X"," "," ","X","X"," ",787.196497885645,17.0243795775737,0.000201003188110076,5.67551592652318e-05,744,5
"84"," ","X","X"," ","X"," ","X"," ","X","X"," ",787.256693030643,17.0845747225721,0.000195043614309048,5.50724169992483e-05,1324,6
"85"," "," "," "," ","X","X"," ","X","X","X"," ",787.267801977646,17.095683669575,0.000193963252918725,5.47673666995576e-05,1009,5
"86","X"," "," "," ","X"," "," ","X","X","X"," ",787.385364446806,17.2132461387347,0.000182890477230212,5.16408633161108e-05,753,5
"87"," "," "," ","X","X","X","X"," ","X","X"," ",787.391830209147,17.219711901076,0.000182300168762779,5.14741841136572e-05,1461,6
"88"," "," "," "," ","X"," "," ","X","X","X","X",787.396159885991,17.2240415779197,0.000181905945222229,5.13628713526988e-05,1017,5
"89"," ","X","X"," "," "," "," ","X","X","X"," ",787.400203452881,17.2280851448101,0.0001815385423233,5.12591316546407e-05,824,5
"90"," "," ","X","X","X"," ","X"," ","X","X"," ",787.406007126366,17.233888818295,0.000181012510709073,5.11106016321833e-05,1415,6
"91"," ","X","X"," "," ","X"," "," ","X","X"," ",787.411089004049,17.238970695978,0.000180553152837094,5.09808975741084e-05,815,5
"92"," ","X","X"," "," "," "," "," ","X","X","X",787.531072985726,17.358954677655,0.000170039917640498,4.80123857629976e-05,827,5
"93"," "," "," "," "," "," ","X"," ","X","X","X",787.545191585654,17.3730732775834,0.000168843781764276,4.76746454376021e-05,560,4
"94"," ","X"," "," "," ","X"," ","X","X","X"," ",787.551897519774,17.3797792117026,0.000168278602169584,4.75150616110379e-05,889,5
"95","X","X","X"," ","X"," "," "," ","X","X"," ",787.630736809955,17.4586185018836,0.000161774162991117,4.56784714306736e-05,1057,6
"96","X"," "," "," "," "," ","X"," ","X","X"," ",787.653549520952,17.481431212881,0.000159939393287956,4.516040677858e-05,345,4
"97"," "," "," "," ","X"," "," "," "," ","X"," ",787.65900634552,17.4868880374486,0.000159503607454701,4.50373585095228e-05,50,2
"98"," "," ","X","X"," "," ","X"," ","X","X"," ",787.757774857765,17.5856565496939,0.000151817976940426,4.28672477366902e-05,926,5
"99"," "," "," "," "," "," ","X","X","X","X"," ",787.771456230861,17.5993379227905,0.000150782981822418,4.25750070348705e-05,557,4
"100"," ","X"," "," ","X"," ","X"," ","X","X","X",787.895322529526,17.7232042214551,0.000141727818516833,4.00181956707655e-05,1394,6
"101"," ","X"," "," "," ","X"," "," ","X","X","X",787.95416316327,17.7820448551994,0.000137618880684702,3.88579980477018e-05,892,5
"102"," ","X"," "," "," "," "," ","X","X","X","X",787.963756099591,17.7916377915201,0.000136960376614605,3.86720631691232e-05,897,5
"103","X","X"," ","X"," "," ","X"," ","X","X"," ",788.123641794199,17.9515234861284,0.000126437588502755,3.57008540016584e-05,1108,6
"104"," ","X"," ","X"," "," ","X","X","X","X"," ",788.14867472806,17.9765564199887,0.000124864899394795,3.52567902948277e-05,1376,6
"105"," ","X","X","X"," "," ","X"," ","X","X"," ",788.173719900732,18.001601592661,0.000123311017527654,3.48180369910708e-05,1304,6
"106","X","X"," ","X"," "," "," ","X","X","X"," ",788.204786432249,18.0326681241783,0.000121410394379082,3.4281377993198e-05,1111,6
"107"," ","X","X","X"," "," "," ","X","X","X"," ",788.220372442056,18.048254133985,0.00012046791970502,3.40152613174737e-05,1307,6
"108","X"," ","X","X","X"," "," "," ","X","X"," ",788.284928479097,18.1128101710265,0.000116641540146971,3.2934846706799e-05,1162,6
"109"," "," "," ","X","X"," ","X"," ","X","X","X",788.294788246977,18.1226699389057,0.000116067925978894,3.27728812983291e-05,1471,6
"110","X"," ","X","X"," "," "," "," ","X","X"," ",788.325202663386,18.1530843553153,0.000114316209975858,3.22782676472993e-05,664,5
"111"," "," "," ","X","X"," ","X","X","X","X"," ",788.32802905741,18.1559107493395,0.000114154772747659,3.22326843126073e-05,1468,6
"112"," "," ","X","X","X"," "," ","X","X","X"," ",788.331961873213,18.1598435651416,0.000113930518460544,3.21693639847023e-05,1418,6
"113","X","X"," "," ","X"," "," ","X","X","X"," ",788.341778317362,18.1696600092906,0.000113372692262172,3.20118564594307e-05,1131,6
"114"," ","X"," ","X"," ","X","X"," ","X","X"," ",788.351943440578,18.1798251325066,0.000112797930437568,3.18495669992401e-05,1369,6
"115"," "," "," ","X"," ","X","X"," ","X","X"," ",788.419993597581,18.24787528951,0.000109024531136862,3.07841118674258e-05,991,5
"116"," "," ","X","X","X"," "," "," ","X","X","X",788.571618183149,18.399499875078,0.000101064671157895,2.85365698006412e-05,1421,6
"117","X","X"," ","X"," "," "," "," ","X","X","X",788.583176350841,18.4110580427703,0.000100482294372372,2.83721301839093e-05,1114,6
"118"," "," ","X","X"," "," "," "," ","X","X","X",788.61754195627,18.4454236481988,9.87704759683279e-05,2.7888781998897e-05,932,5
"119"," "," ","X","X","X","X"," "," ","X","X"," ",788.623102326835,18.4509840187645,9.84962571109053e-05,2.78113537000084e-05,1409,6
"120"," "," ","X","X"," "," "," ","X","X","X"," ",788.650953716818,18.478835408747,9.71341345407198e-05,2.74267454550521e-05,929,5
"121"," "," ","X","X"," ","X"," "," ","X","X"," ",788.654322102656,18.4822037945852,9.69706796025876e-05,2.73805924007965e-05,920,5
"122","X"," "," ","X","X"," ","X"," ","X","X"," ",788.777859433295,18.6057411252245,9.11621688110363e-05,2.57405042103158e-05,1233,6
"123","X","X"," ","X"," ","X"," "," ","X","X"," ",788.777970498437,18.6058521903659,9.11571064820164e-05,2.57390748136357e-05,1102,6
"124"," ","X","X","X"," "," "," "," ","X","X","X",788.792832044624,18.6207137365529,9.04822491689314e-05,2.55485224415784e-05,1310,6
"125","X","X"," "," ","X","X"," "," ","X","X"," ",788.827555998805,18.6554376907342,8.89248572543848e-05,2.51087780425987e-05,1122,6
"126"," ","X","X","X"," ","X"," "," ","X","X"," ",788.840478307686,18.6683599996155,8.83521521783908e-05,2.49470693249128e-05,1298,6
"127"," "," "," ","X"," "," ","X"," ","X","X","X",788.881638186179,18.7095198781077,8.65524526270445e-05,2.4438907063276e-05,1001,5
"128"," "," "," ","X","X"," "," "," "," ","X"," ",788.898847068474,18.7267287604031,8.58109119886926e-05,2.42295260209801e-05,180,3
"129","X","X"," "," ","X"," "," "," ","X","X","X",788.927933163662,18.7558148555908,8.45719904946383e-05,2.38797047700173e-05,1134,6
"130"," ","X"," ","X"," "," ","X"," ","X","X","X",788.97317598863,18.8010576805586,8.26803293044619e-05,2.3345576266217e-05,1379,6
"131","X"," ","X"," "," "," "," "," ","X","X"," ",789.038086543198,18.8659682351272,8.00399944520396e-05,2.26000526430757e-05,293,4
"132"," ","X","X"," ","X"," "," ","X","X","X"," ",789.053028553737,18.8809102456665,7.94442434322375e-05,2.24318366842683e-05,1327,6
"133"," ","X"," ","X"," ","X"," ","X","X","X"," ",789.084414796087,18.9122964880161,7.82072468486335e-05,2.20825589500537e-05,1372,6
"134"," ","X"," ","X"," "," "," ","X","X","X","X",789.093306271298,18.9211879632275,7.7860329673037e-05,2.19846035905494e-05,1380,6
"135"," ","X"," ","X"," "," "," "," ","X"," "," ",789.245769367893,19.0736510598223,7.21455082852414e-05,2.0370969493069e-05,124,3
"136"," "," "," ","X","X"," "," ","X","X","X","X",789.359505557545,19.187387249474,6.81572089532816e-05,1.92448352963376e-05,1472,6
"137"," ","X"," "," ","X","X"," ","X","X","X"," ",789.380773971623,19.2086556635525,6.74362512828171e-05,1.9041266050519e-05,1387,6
"138"," "," ","X"," "," ","X"," "," ","X","X"," ",789.383974288805,19.211855980734,6.73284288754815e-05,1.90108213697245e-05,479,4
"139","X"," "," ","X","X"," "," "," ","X","X","X",789.406549867086,19.2344315590152,6.65727129721093e-05,1.87974378067152e-05,1239,6
"140"," "," "," ","X"," "," ","X","X","X","X"," ",789.45437965569,19.2822613476188,6.49995199286223e-05,1.8353231808902e-05,998,5
"141","X"," "," ","X"," "," ","X"," ","X","X"," ",789.473942690756,19.3018243826847,6.4366825385766e-05,1.81745844954754e-05,730,5
"142"," ","X"," ","X"," "," "," "," "," ","X"," ",789.513343905517,19.3412255974459,6.31111690380731e-05,1.78200379996423e-05,125,3
"143"," ","X","X"," ","X","X"," "," ","X","X"," ",789.553104384091,19.3809860760205,6.18688931810379e-05,1.74692696124325e-05,1318,6
"144"," "," "," ","X","X","X"," "," ","X","X","X",789.600612134174,19.4284938261027,6.04165844907674e-05,1.70591964598941e-05,1467,6
"145"," ","X"," "," ","X"," "," "," "," ","X"," ",789.64613373555,19.4740154274785,5.90569861216216e-05,1.66753009470759e-05,131,3
"146"," ","X","X"," ","X"," "," "," ","X","X","X",789.66410900493,19.4919906968595,5.85285816147103e-05,1.65261009158316e-05,1330,6
"147"," ","X"," ","X"," ","X"," "," ","X","X","X",789.678943601936,19.5068252938648,5.80960636941583e-05,1.64039753729643e-05,1375,6
"148"," ","X"," "," ","X"," "," ","X","X","X","X",789.729419559262,19.5573012511912,5.66481841073859e-05,1.59951528198656e-05,1395,6
"149","X"," "," ","X"," "," "," "," ","X","X","X",789.739810430508,19.5676921224368,5.63546353308952e-05,1.5912266534735e-05,736,5
"150"," "," ","X"," "," "," "," ","X","X","X"," ",789.757327674046,19.5852093659746,5.58632016774826e-05,1.57735055751205e-05,488,4
"151"," "," ","X"," "," "," "," "," ","X","X","X",789.793215035606,19.6210967275354,5.48697499648774e-05,1.54929950483902e-05,491,4
"152"," ","X"," "," "," "," "," "," "," ","X"," ",789.803591008176,19.631472700105,5.45858235944949e-05,1.54128257410167e-05,29,2
"153"," "," "," ","X"," ","X"," "," ","X","X","X",789.859976746481,19.6878584384098,5.30683836142887e-05,1.49843621501563e-05,997,5
"154"," "," "," ","X"," "," "," ","X","X","X","X",789.860165787551,19.6880474794797,5.30633677993326e-05,1.49829458871639e-05,1002,5
"155","X"," "," ","X","X"," "," ","X","X","X"," ",789.865076373323,19.6929580652517,5.29332415043229e-05,1.49462034918451e-05,1236,6
"156"," "," "," ","X","X","X"," ","X","X","X"," ",789.873310400649,19.701192092578,5.27157626147785e-05,1.48847962617958e-05,1464,6
"157","X"," "," ","X","X","X"," "," ","X","X"," ",790.089882238921,19.9177639308504,4.73055957810248e-05,1.33571842712188e-05,1227,6
"158"," ","X"," "," ","X","X"," "," ","X","X","X",790.192889286823,20.0207709787521,4.49308692019985e-05,1.2686657666784e-05,1390,6
"159","X"," "," "," "," "," "," "," ","X","X","X",790.349786469088,20.1776681610174,4.15408166432024e-05,1.1729444128526e-05,351,4
"160"," "," "," "," "," ","X"," "," ","X","X","X",790.362794556919,20.1906762488484,4.12715100876655e-05,1.16534028647313e-05,556,4
"161","X"," "," "," "," ","X"," "," ","X","X"," ",790.37817286454,20.2060545564693,4.095538402709e-05,1.15641416690032e-05,339,4
"162","X"," "," ","X"," ","X"," "," ","X","X"," ",790.462635221875,20.2905169138043,3.92618025548944e-05,1.10859428549104e-05,724,5
"163","X"," "," ","X"," "," "," ","X","X","X"," ",790.463001206067,20.2908828979959,3.92546186126823e-05,1.10839144005947e-05,733,5
"164"," "," "," ","X"," ","X"," ","X","X","X"," ",790.463788136243,20.2916698281717,3.92391763289168e-05,1.10795541251047e-05,994,5
"165"," "," "," "," "," ","X"," ","X","X","X"," ",790.528959480033,20.3568411719618,3.79811495428346e-05,1.07243383134782e-05,553,4
"166"," "," ","X"," ","X","X","X"," ","X","X"," ",790.600145813348,20.4280275052776,3.66530558941813e-05,1.03493384577188e-05,1440,6
"167"," ","X"," "," "," "," "," "," ","X"," "," ",790.685413188066,20.513294879995,3.51232434536621e-05,9.91738138517702e-06,28,2
"168","X"," "," "," "," "," "," ","X","X","X"," ",790.717777013007,20.5456587049363,3.45594560838036e-05,9.75819066651775e-06,348,4
"169"," "," "," "," "," "," "," ","X","X","X","X",790.754893554551,20.5827752464802,3.39240069959682e-05,9.57876558115396e-06,561,4
"170"," "," "," "," ","X","X","X","X","X","X"," ",791.117192120535,20.9450738124644,2.83031654494648e-05,7.99166758447079e-06,1479,6
"171"," ","X"," ","X","X"," ","X","X","X","X"," ",791.279234547234,21.1071162391626,2.61004469416451e-05,7.36970909265165e-06,1762,7
"172","X","X","X","X","X"," "," "," ","X","X"," ",791.340691857221,21.1685735491496,2.53106127329653e-05,7.14669190208749e-06,1498,7
"173"," "," "," "," ","X","X","X"," ","X","X","X",791.441972673695,21.2698543656245,2.4060785923244e-05,6.79379143166887e-06,1482,6
"174","X"," "," "," ","X","X","X"," ","X","X"," ",791.54463603738,21.3725177293096,2.2856869193203e-05,6.45385410829599e-06,1258,6
"175","X"," ","X"," ","X"," ","X"," ","X","X"," ",791.637200244556,21.4650819364851,2.18231119571838e-05,6.16196293421309e-06,1198,6
"176"," ","X"," ","X","X","X","X"," ","X","X"," ",791.65225088439,21.4801325763186,2.16595024372226e-05,6.11576623230994e-06,1755,7
"177"," "," ","X"," ","X"," ","X","X","X","X"," ",791.681064868762,21.5089465606914,2.13496912373363e-05,6.02828809747521e-06,1447,6
"178"," ","X","X","X","X"," "," ","X","X","X"," ",791.711950676397,21.5398323683256,2.1022522726944e-05,5.93590896116166e-06,1712,7
"179"," ","X"," ","X","X"," "," "," "," ","X"," ",791.744535558757,21.5724172506862,2.06827895681748e-05,5.83998207704145e-06,384,4
"180"," "," "," ","X","X"," "," "," ","X"," "," ",791.764690022973,21.5925717149025,2.04754109532191e-05,5.78142675545338e-06,179,3
"181"," ","X","X","X","X"," ","X"," ","X","X"," ",791.801129988246,21.6290116801753,2.01057273623454e-05,5.67704308236314e-06,1709,7
"182","X","X","X"," "," "," ","X"," ","X","X"," ",791.83882582963,21.6667075215587,1.97303250968558e-05,5.57104468717985e-06,1073,6
"183","X","X"," ","X","X"," "," ","X","X","X"," ",791.919909569319,21.7477912612478,1.89464187090863e-05,5.34970127315137e-06,1572,7
"184","X","X"," ","X","X"," ","X"," ","X","X"," ",791.955869459244,21.7837511511734,1.86088073553902e-05,5.25437350084621e-06,1569,7
"185"," "," "," "," ","X"," "," "," ","X"," "," ",792.086242361437,21.914124053366,1.74344569283223e-05,4.92278450393471e-06,49,2
"186"," ","X"," "," ","X"," "," "," ","X"," "," ",792.089520046118,21.9174017380467,1.74059080021113e-05,4.91472344346502e-06,130,3
"187"," "," ","X"," ","X"," ","X"," ","X","X","X",792.124929563072,21.9528112550013,1.71004525909202e-05,4.82847520693911e-06,1450,6
"188"," "," "," ","X"," "," "," "," "," ","X"," ",792.230328476697,22.0582101686256,1.62226023016511e-05,4.58060584005518e-06,44,2
"189","X","X"," "," "," "," ","X","X","X","X"," ",792.460119909959,22.2880016018877,1.4461786502941e-05,4.08342277528805e-06,1145,6
"190"," "," "," "," ","X"," ","X","X","X","X","X",792.516962902374,22.3448445943035,1.40565469285847e-05,3.96899953255536e-06,1484,6
"191","X"," "," "," ","X"," ","X"," ","X","X","X",792.580026850999,22.4079085429278,1.36202313482751e-05,3.84580168438584e-06,1268,6
"192"," ","X"," ","X","X"," ","X"," ","X","X","X",792.593059745632,22.4209414375606,1.35317643864601e-05,3.8208221974696e-06,1765,7
"193"," ","X"," ","X","X"," "," ","X","X","X","X",792.608354111703,22.4362358036317,1.34286791655424e-05,3.79171510625334e-06,1766,7
"194"," ","X"," ","X","X","X"," ","X","X","X"," ",792.615500065191,22.44338175712,1.33807844215348e-05,3.77819157038469e-06,1758,7
"195","X","X"," "," "," ","X","X"," ","X","X"," ",792.616982060709,22.4448637526378,1.3370872962904e-05,3.77539297590253e-06,1138,6
"196","X","X"," ","X","X"," "," "," ","X","X","X",792.624302409428,22.4521841013567,1.33220226913145e-05,3.76159963774567e-06,1575,7
"197","X"," "," "," ","X"," ","X","X","X","X"," ",792.649155033066,22.4770367249951,1.3157503384385e-05,3.71514604885098e-06,1265,6
"198"," ","X","X","X","X"," "," "," ","X","X","X",792.707228470018,22.5351101619467,1.27809461133898e-05,3.60882152689309e-06,1715,7
"199"," ","X","X","X","X","X"," "," ","X","X"," ",792.725648326879,22.5535300188081,1.266377491183e-05,3.57573712525571e-06,1703,7
"200","X","X"," ","X","X","X"," "," ","X","X"," ",792.87053318122,22.6984148731486,1.17788213894666e-05,3.325862093042e-06,1563,7
"201"," "," "," "," ","X"," ","X"," "," ","X"," ",792.897359980034,22.725241671963,1.16218822503263e-05,3.28154883651805e-06,204,3
"202"," ","X"," ","X","X"," "," "," ","X"," "," ",792.946194259349,22.7740759512776,1.13415455661689e-05,3.20239311114454e-06,383,4
"203","X","X"," "," "," "," ","X"," ","X","X","X",793.115681871466,22.9435635633949,1.0420018130207e-05,2.942191087052e-06,1148,6
"204"," ","X"," "," "," ","X","X","X","X","X"," ",793.280196986219,23.1080786781482,9.59719836488713e-06,2.70986011127794e-06,1396,6
"205"," ","X","X"," "," "," ","X","X","X","X"," ",793.405473789184,23.2333554811134,9.01448580584647e-06,2.54532568570409e-06,1341,6
