"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","reLL","weights","model_id","Nparam"
"1343"," "," "," "," "," ","X"," ","X","X"," ","X",823.195878498493,53.0237601904225,3.06222268739844e-12,8.64647660383016e-13,554,4
"1344","X","X"," ","X","X","X","X","X","X"," "," ",823.19933573526,53.0272174271888,3.05693384547939e-12,8.63154305634434e-13,1872,8
"1345","X"," "," "," "," ","X"," ","X","X"," "," ",823.235041753663,53.0629234455923,3.002842659328e-12,8.47881145473479e-13,336,4
"1346"," "," ","X","X"," ","X","X"," "," ","X","X",823.244851578694,53.0727332706233,2.98815004124583e-12,8.43732545209387e-13,1427,6
"1347"," ","X"," ","X","X"," ","X"," "," "," "," ",823.284959775922,53.112841467851,2.92882225656047e-12,8.2698078171583e-13,381,4
"1348","X","X"," ","X","X","X","X"," "," ","X","X",823.311192599301,53.1390742912303,2.89065745783897e-12,8.16204588312481e-13,1877,8
"1349"," ","X","X","X","X"," "," "," "," "," "," ",823.329471817534,53.1573535094633,2.8643583434662e-12,8.08778783583732e-13,352,4
"1350","X"," ","X","X","X"," ","X"," ","X"," ","X",823.350420108351,53.1783018002805,2.83451321165258e-12,8.00351727150947e-13,1626,7
"1351"," "," ","X","X"," ","X","X","X"," ","X"," ",823.352632684965,53.1805143768944,2.83137915673437e-12,7.9946679697794e-13,1423,6
"1352"," ","X","X"," ","X","X","X"," ","X"," ","X",823.35906370345,53.1869453953793,2.8222894527325e-12,7.96900232720175e-13,1735,7
"1353"," ","X"," "," "," "," ","X"," "," "," "," ",823.378608316504,53.2064900084326,2.79484349865062e-12,7.89150606907025e-13,26,2
"1354"," ","X","X","X"," ","X"," ","X"," ","X","X",823.417082823388,53.2449645153168,2.74159223221343e-12,7.74114606054825e-13,1724,7
"1355","X","X","X","X","X"," "," ","X"," ","X","X",823.429691064787,53.2575727567165,2.72436326766717e-12,7.69249844276705e-13,1834,8
"1356"," ","X","X","X","X","X","X","X","X"," "," ",823.443266452034,53.2711481439634,2.70593374223168e-12,7.6404609272874e-13,1936,8
"1357","X"," ","X"," "," ","X","X"," "," ","X"," ",823.493947252493,53.3218289444221,2.63822579455887e-12,7.4492811062197e-13,684,5
"1358"," ","X"," "," ","X"," "," ","X"," "," "," ",823.507009018347,53.3348907102763,2.62105199184878e-12,7.40078924312212e-13,129,3
"1359","X","X","X","X","X","X"," ","X"," ","X"," ",823.507018229244,53.3348999211729,2.62103992075718e-12,7.4007551592485e-13,1821,8
"1360","X"," "," ","X","X","X","X"," ","X"," ","X",823.531593958616,53.3594756505446,2.58903000639094e-12,7.31037212577504e-13,1672,7
"1361","X","X","X"," ","X","X"," "," ","X"," ","X",823.532388128351,53.3602698202806,2.58800214584009e-12,7.30746986388484e-13,1529,7
"1362"," "," "," ","X","X"," "," ","X"," "," "," ",823.53577535913,53.3636570510591,2.58362277511001e-12,7.29510429468149e-13,178,3
"1363","X","X","X","X","X"," ","X"," "," ","X","X",823.554678101389,53.382559793318,2.5593190301782e-12,7.22648036252819e-13,1831,8
"1364"," ","X","X"," "," ","X"," ","X","X"," ","X",823.562914371572,53.3907960635011,2.54880108070257e-12,7.19678193320248e-13,1338,6
"1365"," ","X","X"," "," ","X"," ","X"," ","X","X",823.620226349295,53.4481080412239,2.47679923442946e-12,6.99347788160785e-13,1339,6
"1366","X","X"," ","X","X"," ","X","X","X"," ","X",823.628675372043,53.4565570639718,2.46635803789764e-12,6.96399617150889e-13,1883,8
"1367","X"," "," ","X","X","X","X","X","X"," "," ",823.646391242055,53.4742729339841,2.44460767257359e-12,6.9025819491948e-13,1668,7
"1368","X","X","X","X","X"," "," ","X","X"," ","X",823.702779085143,53.5306607770719,2.37664713443155e-12,6.71068891494649e-13,1833,8
"1369","X","X","X","X","X","X"," ","X","X"," "," ",823.708121405005,53.5360030969339,2.37030720109362e-12,6.69278751100815e-13,1820,8
"1370","X"," "," ","X","X"," ","X","X","X"," ","X",823.757548446188,53.5854301381175,2.31244648119539e-12,6.52941227283898e-13,1679,7
"1371","X"," ","X","X"," "," ","X"," "," ","X","X",823.772266957334,53.6001486492634,2.29549106269412e-12,6.48153703829686e-13,1180,6
"1372","X"," ","X","X","X"," "," ","X","X"," ","X",823.773518586731,53.6014002786603,2.29405496006079e-12,6.47748206611249e-13,1629,7
