"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
1,"-2.902*** (-3.115--2.715)","-0.422*** (-0.645--0.211)","0.94*** (0.579-1.283)","0.873*** (0.538-1.192)","5.31*** (3.842-6.786)","0.498 (-1.228-2.304)",NA,NA,NA,NA,NA,NA,NA,NA,568.465414333291,0,3
2,"-2.889*** (-3.107--2.698)","-0.347** (-0.578--0.13)","0.914*** (0.548-1.262)","0.87*** (0.533-1.192)","4.697*** (3.155-6.27)","1.094 (-0.712-2.949)","-0.154* (-0.311--0.006)",NA,NA,NA,NA,NA,NA,NA,573.054953608075,4.58953927478422,4
3,"-2.904*** (-3.12--2.715)","-0.382*** (-0.605--0.173)","0.922*** (0.558-1.268)","0.841*** (0.504-1.163)","5.098*** (3.599-6.605)","0.775 (-0.998-2.631)",NA,"-0.187* (-0.382--0.004)",NA,NA,NA,NA,NA,NA,573.174472676635,4.70905834334371,4
4,"-2.828*** (-3.031--2.649)",NA,"0.921*** (0.558-1.266)","0.915*** (0.581-1.234)","4.829*** (3.274-6.411)","0.827 (-0.976-2.685)","-0.234** (-0.386--0.089)",NA,NA,NA,NA,NA,NA,NA,574.967522023672,6.5021076903812,3
5,"-2.901*** (-3.113--2.715)","-0.401*** (-0.626--0.189)","0.932*** (0.571-1.276)","0.87*** (0.534-1.189)","5.446*** (3.959-6.942)","0.41 (-1.328-2.229)",NA,NA,"-0.07 (-0.18-0.035)",NA,NA,NA,NA,NA,575.552556691227,7.08714235793605,4
6,"-2.901*** (-3.115--2.713)","-0.455*** (-0.684--0.237)","0.948*** (0.587-1.291)","0.86*** (0.525-1.18)","5.109*** (3.616-6.612)","0.702 (-1.051-2.534)",NA,NA,NA,"-0.091 (-0.261-0.043)",NA,NA,NA,NA,575.572997761253,7.10758342796146,4
7,"-2.96*** (-3.429--2.725)","-0.415*** (-0.64--0.199)","0.944*** (0.582-1.288)","0.873*** (0.538-1.194)","5.261*** (3.79-6.742)","0.549 (-1.183-2.359)",NA,NA,NA,NA,"-0.679 (-5.126--0.214)",NA,NA,NA,576.149034418194,7.68362008490294,4
8,"-2.837*** (-3.036--2.663)",NA,"0.971*** (0.615-1.308)","0.937*** (0.609-1.25)","6.013*** (4.582-7.441)","-0.406 (-2.047-1.326)",NA,NA,NA,NA,NA,NA,NA,NA,576.477943924723,8.0125295914321,2
9,"-2.905*** (-3.119--2.717)","-0.426*** (-0.65--0.214)","0.944*** (0.582-1.289)","0.879*** (0.544-1.199)","5.29*** (3.823-6.767)","0.524 (-1.205-2.333)",NA,NA,NA,NA,NA,"0.032 (-0.081-0.148)",NA,NA,576.926883000779,8.46146866748825,4
10,"-2.897*** (-3.111--2.709)","-0.423*** (-0.647--0.211)","0.94*** (0.578-1.283)","0.873*** (0.539-1.193)","5.277*** (3.806-6.758)","0.541 (-1.193-2.355)",NA,NA,NA,NA,NA,NA,"-0.278 (-1.44-0.607)",NA,576.941328425511,8.47591409222002,4
11,"-2.9*** (-3.114--2.713)","-0.424*** (-0.647--0.213)","0.936*** (0.573-1.281)","0.869*** (0.533-1.19)","5.308*** (3.841-6.783)","0.499 (-1.226-2.304)",NA,NA,NA,NA,NA,NA,NA,"0.026 (-0.226-0.133)",577.155565526389,8.69015119309813,4
12,"-2.856*** (-3.06--2.677)",NA,"0.947*** (0.588-1.288)","0.892*** (0.561-1.209)","5.715*** (4.241-7.183)","-0.004 (-1.708-1.798)",NA,"-0.238* (-0.431--0.055)",NA,NA,NA,NA,NA,NA,578.571736454819,10.1063221215279,3
13,"-2.895*** (-3.115--2.702)","-0.321** (-0.552--0.108)","0.902*** (0.534-1.251)","0.843*** (0.504-1.167)","4.61*** (3.051-6.199)","1.236 (-0.596-3.121)","-0.135 (-0.294-0.016)","-0.162 (-0.359-0.019)",NA,NA,NA,NA,NA,NA,578.876160702654,10.4107463693632,5
14,"-2.848*** (-3.056--2.665)",NA,"0.907*** (0.541-1.255)","0.881*** (0.545-1.202)","4.745*** (3.172-6.344)","0.984 (-0.847-2.873)","-0.208** (-0.362--0.061)","-0.193* (-0.389--0.008)",NA,NA,NA,NA,NA,NA,579.54021180157,11.0747974682794,4
15,"-2.889*** (-3.108--2.697)","-0.379** (-0.615--0.157)","0.922*** (0.556-1.27)","0.855*** (0.516-1.178)","4.464*** (2.914-6.054)","1.324 (-0.496-3.181)","-0.162* (-0.319--0.014)",NA,NA,"-0.103 (-0.274-0.033)",NA,NA,NA,NA,579.73374237048,11.2683280371887,5
16,"-2.916*** (-3.127--2.729)","-0.385*** (-0.612--0.17)","0.942*** (0.575-1.292)","0.899*** (0.562-1.22)","5.597*** (4.092-7.117)","0.369 (-1.391-2.208)",NA,NA,"-0.189* (-0.351--0.035)",NA,NA,"0.179* (0.013-0.353)",NA,NA,579.834648813713,11.3692344804219,5
17,"-2.903*** (-3.12--2.713)","-0.417*** (-0.646--0.201)","0.931*** (0.566-1.277)","0.826*** (0.488-1.149)","4.887*** (3.369-6.418)","0.989 (-0.805-2.861)",NA,"-0.191* (-0.386--0.009)",NA,"-0.097 (-0.267-0.038)",NA,NA,NA,NA,580.068535916431,11.6031215831401,5
18,"-2.889*** (-3.106--2.699)","-0.325** (-0.558--0.109)","0.906*** (0.54-1.253)","0.866*** (0.528-1.188)","4.839*** (3.277-6.431)","0.998 (-0.818-2.866)","-0.154* (-0.311--0.006)",NA,"-0.07 (-0.18-0.035)",NA,NA,NA,NA,NA,580.145875373907,11.6804610406157,5
19,"-3.015*** (-3.516--2.734)","-0.363** (-0.592--0.146)","0.921*** (0.556-1.268)","0.834*** (0.495-1.157)","4.998*** (3.488-6.517)","0.883 (-0.904-2.752)",NA,"-0.203* (-0.4--0.016)",NA,NA,"-1.296 (-6.084--0.131)",NA,NA,NA,580.307539318077,11.8421249847861,5
20,"-2.952*** (-3.434--2.708)","-0.337** (-0.571--0.114)","0.917*** (0.551-1.265)","0.869*** (0.531-1.192)","4.636*** (3.087-6.217)","1.157 (-0.657-3.019)","-0.155* (-0.312--0.007)",NA,NA,NA,"-0.751 (-5.33--0.177)",NA,NA,NA,580.663192927276,12.1977785939846,5
21,"-2.837*** (-3.04--2.659)",NA,"0.909*** (0.545-1.255)","0.907*** (0.573-1.227)","5.023*** (3.447-6.621)","0.705 (-1.106-2.575)","-0.229** (-0.382--0.084)",NA,"-0.092 (-0.202-0.012)",NA,NA,NA,NA,NA,580.722147474526,12.2567331412347,4
22,"-2.91*** (-3.127--2.719)","-0.385*** (-0.609--0.175)","0.928*** (0.562-1.277)","0.849*** (0.512-1.171)","5.039*** (3.534-6.553)","0.854 (-0.93-2.721)",NA,"-0.207* (-0.405--0.019)",NA,NA,NA,"0.059 (-0.057-0.179)",NA,NA,580.970413653215,12.5049993199237,5
23,"-2.997*** (-3.486--2.687)",NA,"0.914*** (0.55-1.259)","0.897*** (0.562-1.218)","4.672*** (3.113-6.262)","0.992 (-0.822-2.854)","-0.23** (-0.381--0.086)",NA,NA,NA,"-1.995 (-6.643--0.518)",NA,NA,NA,581.073061224567,12.6076468912756,4
24,"-2.892*** (-3.111--2.7)","-0.35** (-0.581--0.133)","0.919*** (0.552-1.269)","0.879*** (0.541-1.203)","4.648*** (3.101-6.227)","1.154 (-0.662-3.017)","-0.158* (-0.315--0.01)",NA,NA,NA,NA,"0.042 (-0.071-0.159)",NA,NA,581.304859446356,12.8394451130646,5
25,"-2.902*** (-3.117--2.714)","-0.373*** (-0.598--0.164)","0.919*** (0.555-1.265)","0.843*** (0.505-1.164)","5.203*** (3.68-6.735)","0.694 (-1.092-2.563)",NA,"-0.166 (-0.368-0.018)","-0.044 (-0.158-0.064)",NA,NA,NA,NA,NA,581.320519667483,12.8551053341921,5
26,"-2.897*** (-3.114--2.706)","-0.382*** (-0.606--0.17)","0.921*** (0.557-1.267)","0.84*** (0.503-1.162)","5.047*** (3.541-6.561)","0.842 (-0.942-2.71)",NA,"-0.193* (-0.389--0.009)",NA,NA,NA,NA,"-0.37 (-1.55-0.525)",NA,581.425705491047,12.960291157756,5
27,"-2.883*** (-3.102--2.691)","-0.347** (-0.579--0.129)","0.913*** (0.547-1.261)","0.87*** (0.532-1.192)","4.658*** (3.111-6.237)","1.144 (-0.671-3.007)","-0.155* (-0.311--0.007)",NA,NA,NA,NA,NA,"-0.294 (-1.44-0.583)",NA,581.485788589637,13.0203742563458,5
28,"-2.888*** (-3.106--2.697)","-0.348** (-0.58--0.131)","0.911*** (0.544-1.26)","0.867*** (0.529-1.19)","4.698*** (3.156-6.271)","1.092 (-0.713-2.947)","-0.154* (-0.31--0.005)",NA,NA,NA,NA,NA,NA,"0.019 (-0.233-0.124)",581.779380336018,13.3139660027273,5
29,"-2.845*** (-3.043--2.671)",NA,"0.959*** (0.603-1.297)","0.931*** (0.602-1.245)","6.176*** (4.728-7.621)","-0.487 (-2.139-1.259)",NA,NA,"-0.098 (-0.208-0.006)",NA,NA,NA,NA,NA,581.808936972897,13.3435226396061,3
30,"-2.905*** (-3.122--2.715)","-0.381*** (-0.606--0.171)","0.923*** (0.558-1.271)","0.842*** (0.504-1.165)","5.098*** (3.598-6.605)","0.776 (-0.997-2.634)",NA,"-0.188* (-0.386--0.003)",NA,NA,NA,NA,NA,"-0.007 (-0.288-0.12)",581.932295520844,13.4668811875533,5
31,"-2.899*** (-3.111--2.712)","-0.438*** (-0.668--0.219)","0.94*** (0.578-1.283)","0.853*** (0.516-1.174)","5.223*** (3.716-6.741)","0.648 (-1.116-2.491)",NA,NA,"-0.083 (-0.195-0.023)","-0.107 (-0.278-0.029)",NA,NA,NA,NA,582.018331976629,13.5529176433383,5
32,"-2.857*** (-3.06--2.678)",NA,"0.918*** (0.545-1.271)","0.946*** (0.61-1.269)","5.086*** (3.493-6.707)","0.799 (-1.045-2.702)","-0.241** (-0.393--0.097)",NA,"-0.243** (-0.405--0.089)",NA,NA,"0.23** (0.061-0.405)",NA,NA,582.226890733773,13.761476400482,5
33,"-3.013*** (-3.485--2.705)",NA,"0.961*** (0.606-1.299)","0.919*** (0.589-1.234)","5.825*** (4.384-7.27)","-0.21 (-1.87-1.536)",NA,NA,NA,NA,"-2.072 (-6.575--0.441)",NA,NA,NA,582.326272120617,13.8608577873262,3
34,"-3.107*** (-3.6--2.75)",NA,"0.926*** (0.566-1.268)","0.856*** (0.522-1.176)","5.388*** (3.887-6.89)","0.353 (-1.394-2.193)",NA,"-0.268** (-0.463--0.082)",NA,NA,"-2.968 (-7.662--0.581)",NA,NA,NA,582.795264098051,14.3298497647603,4
35,"-2.815*** (-3.02--2.635)",NA,"0.918*** (0.554-1.263)","0.912*** (0.579-1.231)","4.763*** (3.201-6.352)","0.905 (-0.909-2.772)","-0.234** (-0.386--0.09)",NA,NA,NA,NA,NA,"-0.343 (-1.378-0.409)",NA,583.089924975712,14.6245106424208,4
36,"-2.964*** (-3.437--2.724)","-0.448*** (-0.679--0.226)","0.951*** (0.59-1.296)","0.86*** (0.523-1.181)","5.049*** (3.549-6.56)","0.765 (-0.996-2.605)",NA,NA,NA,"-0.093 (-0.263-0.041)","-0.742 (-5.225--0.147)",NA,NA,NA,583.170683751233,14.7052694179417,5
37,"-2.826*** (-3.03--2.647)",NA,"0.926*** (0.562-1.271)","0.91*** (0.576-1.23)","4.721*** (3.149-6.325)","0.928 (-0.892-2.796)","-0.242** (-0.395--0.095)",NA,NA,"-0.053 (-0.224-0.081)",NA,NA,NA,NA,583.196086857414,14.7306725241232,4
38,"-2.904*** (-3.12--2.714)","-0.297** (-0.533--0.08)","0.913*** (0.539-1.268)","0.905*** (0.565-1.23)","4.914*** (3.336-6.525)","1.054 (-0.79-2.948)","-0.174* (-0.331--0.025)",NA,"-0.203* (-0.366--0.049)",NA,NA,"0.202* (0.034-0.378)",NA,NA,583.315348498448,14.8499341651569,6
39,"-2.951*** (-3.407--2.724)","-0.395*** (-0.622--0.178)","0.936*** (0.574-1.28)","0.87*** (0.534-1.191)","5.396*** (3.905-6.899)","0.46 (-1.284-2.283)",NA,NA,"-0.068 (-0.179-0.037)",NA,"-0.595 (-4.917--0.208)",NA,NA,NA,583.317697645657,14.8522833123659,5
40,"-2.828*** (-3.032--2.65)",NA,"0.926*** (0.561-1.272)","0.923*** (0.588-1.242)","4.781*** (3.218-6.37)","0.885 (-0.93-2.752)","-0.237** (-0.389--0.092)",NA,NA,NA,NA,"0.035 (-0.077-0.151)",NA,NA,583.35319334115,14.8877790078594,4
41,"-2.819*** (-3.014--2.645)","-0.434*** (-0.651--0.228)",NA,"0.964*** (0.64-1.273)","5.254*** (3.887-6.626)","0.462 (-1.141-2.137)",NA,NA,NA,NA,NA,NA,NA,NA,583.466529040714,15.0011147074229,2
42,"-2.806*** (-2.998--2.635)","-0.456*** (-0.673--0.25)","1.044*** (0.694-1.377)",NA,"5.156*** (3.804-6.509)","0.557 (-1.032-2.218)",NA,NA,NA,NA,NA,NA,NA,NA,583.636163834341,15.1707495010501,2
43,"-2.828*** (-3.032--2.649)",NA,"0.924*** (0.56-1.27)","0.917*** (0.583-1.237)","4.82*** (3.263-6.403)","0.837 (-0.969-2.696)","-0.234** (-0.386--0.089)",NA,NA,NA,NA,NA,NA,"-0.024 (-0.276-0.075)",583.64601718099,15.1806028476993,4
44,"-2.896*** (-3.108--2.708)","-0.402*** (-0.628--0.189)","0.931*** (0.57-1.275)","0.87*** (0.534-1.19)","5.413*** (3.922-6.914)","0.454 (-1.292-2.28)",NA,NA,"-0.07 (-0.181-0.034)",NA,NA,NA,"-0.291 (-1.456-0.589)",NA,583.997212112373,15.5317977790816,5
45,"-2.896*** (-3.11--2.707)","-0.455*** (-0.685--0.237)","0.948*** (0.586-1.291)","0.861*** (0.525-1.181)","5.079*** (3.58-6.587)","0.743 (-1.018-2.583)",NA,NA,NA,"-0.091 (-0.261-0.044)",NA,NA,"-0.272 (-1.457-0.64)",NA,584.079548953214,15.6141346199231,5
46,"-2.903*** (-3.117--2.715)","-0.456*** (-0.686--0.238)","0.951*** (0.589-1.296)","0.866*** (0.529-1.187)","5.099*** (3.605-6.603)","0.718 (-1.038-2.552)",NA,NA,NA,"-0.089 (-0.259-0.046)",NA,"0.025 (-0.088-0.142)",NA,NA,584.14721895735,15.6818046240586,5
47,"-2.9*** (-3.112--2.713)","-0.403*** (-0.628--0.19)","0.929*** (0.566-1.274)","0.867*** (0.53-1.188)","5.442*** (3.956-6.938)","0.413 (-1.324-2.231)",NA,NA,"-0.069 (-0.18-0.036)",NA,NA,NA,NA,"0.02 (-0.242-0.129)",584.274888721557,15.8094743882656,5
48,"-2.899*** (-3.114--2.711)","-0.456*** (-0.685--0.238)","0.945*** (0.582-1.29)","0.857*** (0.52-1.179)","5.109*** (3.616-6.612)","0.701 (-1.05-2.532)",NA,NA,NA,"-0.09 (-0.26-0.044)",NA,NA,NA,"0.02 (-0.238-0.132)",584.295854202869,15.8304398695781,5
49,"-2.969*** (-3.438--2.725)","-0.418*** (-0.644--0.203)","0.936*** (0.573-1.281)","0.865*** (0.529-1.186)","5.241*** (3.77-6.723)","0.571 (-1.16-2.381)",NA,NA,NA,NA,"-0.841 (-5.297-0.056)",NA,NA,"0.068 (-0.173-0.171)",584.34758560309,15.8821712697994,5
50,"-2.862*** (-3.059--2.688)",NA,"0.968*** (0.605-1.313)","0.955*** (0.625-1.27)","6.304*** (4.835-7.775)","-0.484 (-2.164-1.291)",NA,NA,"-0.238** (-0.4--0.084)",NA,NA,"0.208* (0.042-0.382)",NA,NA,584.497392682215,16.0319783489244,4
51,"-3.075*** (-3.58--2.725)",NA,"0.893*** (0.526-1.24)","0.851*** (0.512-1.174)","4.518*** (2.936-6.129)","1.233 (-0.617-3.136)","-0.197* (-0.351--0.05)","-0.219* (-0.417--0.031)",NA,NA,"-2.671 (-7.455--0.317)",NA,NA,NA,584.533704855616,16.0682905223248,5
52,"-2.967*** (-3.443--2.728)","-0.419*** (-0.645--0.202)","0.949*** (0.586-1.294)","0.88*** (0.544-1.201)","5.238*** (3.767-6.721)","0.58 (-1.155-2.393)",NA,NA,NA,NA,"-0.716 (-5.212--0.197)","0.035 (-0.077-0.152)",NA,NA,584.546374223872,16.0809598905807,5
53,"-2.826*** (-3.026--2.65)",NA,"0.967*** (0.612-1.305)","0.935*** (0.607-1.249)","5.954*** (4.516-7.39)","-0.337 (-1.989-1.407)",NA,NA,NA,NA,NA,NA,"-0.318 (-1.337-0.416)",NA,584.668970322303,16.2035559890118,3
54,"-2.956*** (-3.428--2.72)","-0.415*** (-0.641--0.199)","0.943*** (0.581-1.287)","0.873*** (0.537-1.194)","5.255*** (3.782-6.739)","0.557 (-1.179-2.371)",NA,NA,NA,NA,"-0.647 (-5.114--0.158)",NA,"-0.083 (-1.339-0.851)",NA,584.890383248273,16.4249689149818,5
55,"-2.838*** (-3.036--2.663)",NA,"0.973*** (0.617-1.312)","0.941*** (0.612-1.254)","5.998*** (4.566-7.429)","-0.389 (-2.033-1.347)",NA,NA,NA,NA,NA,"0.02 (-0.09-0.134)",NA,NA,585.113544953073,16.6481306197817,3
56,"-2.837*** (-3.036--2.662)",NA,"0.973*** (0.618-1.311)","0.936*** (0.608-1.249)","5.981*** (4.534-7.425)","-0.377 (-2.03-1.369)",NA,NA,NA,"-0.021 (-0.189-0.11)",NA,NA,NA,NA,585.156446162101,16.69103182881,3
57,"-2.838*** (-3.037--2.663)",NA,"0.974*** (0.618-1.312)","0.94*** (0.611-1.254)","6.006*** (4.573-7.435)","-0.399 (-2.042-1.336)",NA,NA,NA,NA,NA,NA,NA,"-0.023 (-0.277-0.079)",585.171226240785,16.7058119074939,3
58,"-2.895*** (-3.116--2.701)","-0.355** (-0.59--0.136)","0.91*** (0.542-1.259)","0.826*** (0.485-1.151)","4.366*** (2.804-5.97)","1.476 (-0.366-3.358)","-0.143 (-0.303-0.008)","-0.166 (-0.363-0.015)",NA,"-0.107 (-0.278-0.029)",NA,NA,NA,NA,585.371281332934,16.9058669996431,6
59,"-2.9*** (-3.114--2.711)","-0.427*** (-0.652--0.214)","0.944*** (0.582-1.289)","0.88*** (0.544-1.2)","5.258*** (3.786-6.739)","0.568 (-1.169-2.384)",NA,NA,NA,NA,NA,"0.032 (-0.08-0.149)","-0.284 (-1.449-0.608)",NA,585.395739877877,16.9303255445859,5
60,"-2.915*** (-3.129--2.727)","-0.357** (-0.583--0.145)","0.929*** (0.558-1.28)","0.872*** (0.533-1.195)","5.332*** (3.787-6.889)","0.683 (-1.132-2.58)",NA,"-0.168 (-0.37-0.016)","-0.163* (-0.327--0.008)",NA,NA,"0.182* (0.015-0.356)",NA,NA,585.490283075411,17.0248687421198,6
61,"-2.892*** (-3.107--2.704)","-0.427*** (-0.651--0.214)","0.932*** (0.57-1.277)","0.867*** (0.531-1.187)","5.264*** (3.793-6.746)","0.557 (-1.178-2.37)",NA,NA,NA,NA,NA,NA,"-0.346 (-1.504-0.592)","0.046 (-0.213-0.161)",585.50643780079,17.0410234674993,5
62,"-2.903*** (-3.117--2.715)","-0.428*** (-0.652--0.216)","0.94*** (0.576-1.286)","0.875*** (0.539-1.197)","5.288*** (3.821-6.765)","0.526 (-1.202-2.333)",NA,NA,NA,NA,NA,"0.032 (-0.08-0.148)",NA,"0.027 (-0.225-0.134)",585.613833435001,17.1484191017101,5
63,"-2.912*** (-3.123--2.725)","-0.423*** (-0.655--0.202)","0.949*** (0.582-1.299)","0.883*** (0.546-1.206)","5.347*** (3.816-6.89)","0.65 (-1.144-2.526)",NA,NA,"-0.214** (-0.382--0.055)","-0.117 (-0.287-0.019)",NA,"0.192* (0.023-0.369)",NA,NA,585.806411037065,17.3409967037735,6
64,"-2.857*** (-3.059--2.679)",NA,"0.942*** (0.582-1.283)","0.894*** (0.562-1.211)","5.856*** (4.362-7.343)","-0.103 (-1.816-1.71)",NA,"-0.205* (-0.406--0.016)","-0.064 (-0.178-0.043)",NA,NA,NA,NA,NA,585.983058301974,17.517643968683,4
65,"-3.003*** (-3.511--2.721)","-0.302** (-0.539--0.079)","0.901*** (0.532-1.251)","0.836*** (0.495-1.161)","4.51*** (2.941-6.111)","1.343 (-0.503-3.24)","-0.134 (-0.293-0.016)","-0.177 (-0.377-0.01)",NA,NA,"-1.271 (-6.128--0.095)",NA,NA,NA,586.024581898185,17.5591675648936,6
66,"-2.888*** (-3.105--2.697)","-0.361** (-0.598--0.139)","0.912*** (0.546-1.26)","0.847*** (0.507-1.171)","4.589*** (3.029-6.188)","1.256 (-0.568-3.12)","-0.163* (-0.321--0.015)",NA,"-0.084 (-0.196-0.022)","-0.119 (-0.291-0.019)",NA,NA,NA,NA,586.120969872772,17.6555555394814,6
67,"-2.84*** (-3.045--2.66)",NA,"0.941*** (0.581-1.282)","0.887*** (0.555-1.204)","5.613*** (4.126-7.095)","0.117 (-1.606-1.94)",NA,"-0.249** (-0.443--0.064)",NA,NA,NA,NA,"-0.436 (-1.486-0.316)",NA,586.257320365517,17.7919060322259,4
68,"-2.808*** (-3.01--2.63)","-0.343** (-0.568--0.133)",NA,"0.961*** (0.634-1.273)","4.558*** (3.114-6.025)","1.143 (-0.541-2.872)","-0.179* (-0.333--0.034)",NA,NA,NA,NA,NA,NA,NA,586.311297398998,17.845883065707,3
69,"-2.813*** (-3.009--2.639)","-0.405*** (-0.622--0.203)","1.019*** (0.665-1.355)",NA,"4.927*** (3.541-6.314)","0.867 (-0.772-2.582)",NA,"-0.221* (-0.414--0.041)",NA,NA,NA,NA,NA,NA,586.440669752707,17.9752554194163,3
70,"-2.859*** (-3.063--2.679)",NA,"0.953*** (0.591-1.296)","0.898*** (0.566-1.215)","5.652*** (4.168-7.129)","0.075 (-1.643-1.893)",NA,"-0.257** (-0.453--0.069)",NA,NA,NA,"0.055 (-0.06-0.174)",NA,NA,586.482464529003,18.0170501957119,4
71,"-2.901*** (-3.122--2.707)","-0.323** (-0.554--0.109)","0.909*** (0.538-1.261)","0.854*** (0.514-1.179)","4.527*** (2.96-6.126)","1.342 (-0.506-3.241)","-0.138 (-0.297-0.012)","-0.182 (-0.383-0.006)",NA,NA,NA,"0.064 (-0.053-0.185)",NA,NA,586.50108519055,18.0356708572585,6
72,"-2.859*** (-3.063--2.679)",NA,"0.956*** (0.596-1.298)","0.898*** (0.566-1.215)","5.674*** (4.19-7.151)","0.043 (-1.672-1.861)",NA,"-0.251** (-0.447--0.064)",NA,NA,NA,NA,NA,"-0.076 (-0.363-0.066)",586.805201110446,18.3397867771546,4
73,"-2.849*** (-3.056--2.668)",NA,"0.901*** (0.535-1.248)","0.882*** (0.545-1.203)","4.892*** (3.299-6.507)","0.878 (-0.96-2.778)","-0.209** (-0.364--0.062)","-0.158 (-0.362-0.026)","-0.066 (-0.18-0.041)",NA,NA,NA,NA,NA,586.85743103406,18.3920167007689,5
74,"-2.893*** (-3.112--2.701)","-0.31** (-0.543--0.096)","0.898*** (0.53-1.247)","0.844*** (0.505-1.168)","4.717*** (3.138-6.324)","1.155 (-0.687-3.051)","-0.137 (-0.297-0.013)","-0.138 (-0.342-0.035)","-0.048 (-0.162-0.06)",NA,NA,NA,NA,NA,586.894880668963,18.4294663356717,6
75,"-2.824*** (-3.023--2.648)","-0.388*** (-0.606--0.186)",NA,"0.926*** (0.6-1.238)","5.032*** (3.632-6.437)","0.758 (-0.893-2.486)",NA,"-0.209* (-0.402--0.028)",NA,NA,NA,NA,NA,NA,586.984783542502,18.5193692092112,3
76,"-3.023*** (-3.528--2.735)","-0.398*** (-0.633--0.175)","0.929*** (0.564-1.276)","0.817*** (0.477-1.142)","4.767*** (3.234-6.313)","1.118 (-0.695-3.008)",NA,"-0.208* (-0.406--0.022)",NA,"-0.101 (-0.271-0.035)","-1.402 (-6.218--0.214)",NA,NA,NA,587.050540703061,18.5851263697703,6
77,"-2.887*** (-3.108--2.693)","-0.32** (-0.552--0.104)","0.9*** (0.532-1.25)","0.842*** (0.502-1.166)","4.555*** (2.99-6.151)","1.306 (-0.537-3.202)","-0.135 (-0.294-0.015)","-0.168 (-0.367-0.015)",NA,NA,NA,NA,"-0.371 (-1.534-0.515)",NA,587.109374298543,18.6439599652521,6
78,"-2.856*** (-3.06--2.677)",NA,"0.951*** (0.591-1.293)","0.89*** (0.558-1.207)","5.671*** (4.184-7.152)","0.037 (-1.677-1.849)",NA,"-0.24* (-0.434--0.056)",NA,"-0.031 (-0.2-0.101)",NA,NA,NA,NA,587.155274632081,18.6898602987903,4
79,"-2.976*** (-3.451--2.689)",NA,"0.903*** (0.539-1.249)","0.893*** (0.557-1.214)","4.865*** (3.283-6.476)","0.865 (-0.96-2.742)","-0.225** (-0.377--0.081)",NA,"-0.087 (-0.197-0.017)",NA,"-1.685 (-6.226--0.496)",NA,NA,NA,587.164416354567,18.699002021276,5
80,"-2.851*** (-3.06--2.668)",NA,"0.914*** (0.545-1.264)","0.891*** (0.554-1.213)","4.658*** (3.074-6.267)","1.093 (-0.756-2.999)","-0.211** (-0.365--0.064)","-0.213* (-0.412--0.023)",NA,NA,NA,"0.061 (-0.054-0.181)",NA,NA,587.23342854882,18.7680142155289,5
81,"-2.957*** (-3.443--2.708)","-0.37** (-0.609--0.142)","0.924*** (0.558-1.273)","0.853*** (0.514-1.178)","4.391*** (2.833-5.991)","1.399 (-0.43-3.266)","-0.163* (-0.32--0.015)",NA,NA,"-0.105 (-0.276-0.031)","-0.812 (-5.424--0.085)",NA,NA,NA,587.244570082785,18.7791557494943,6
82,"-2.832*** (-3.042--2.648)",NA,"0.902*** (0.535-1.249)","0.876*** (0.539-1.197)","4.652*** (3.07-6.261)","1.096 (-0.75-2.998)","-0.207** (-0.361--0.06)","-0.203* (-0.399--0.016)",NA,NA,NA,NA,"-0.434 (-1.492-0.332)",NA,587.278652932442,18.8132385991512,5
83,"-2.969*** (-3.425--2.74)","-0.378*** (-0.608--0.159)","0.948*** (0.58-1.298)","0.901*** (0.564-1.223)","5.549*** (4.041-7.074)","0.422 (-1.345-2.265)",NA,NA,"-0.19* (-0.352--0.036)",NA,"-0.621 (-4.919--0.167)","0.183* (0.017-0.357)",NA,NA,587.407309521824,18.941895188533,6
84,"-2.847*** (-3.056--2.664)",NA,"0.913*** (0.546-1.26)","0.875*** (0.538-1.197)","4.623*** (3.036-6.242)","1.098 (-0.747-2.993)","-0.217** (-0.373--0.068)","-0.196* (-0.392--0.011)",NA,"-0.061 (-0.231-0.074)",NA,NA,NA,NA,587.611890764803,19.1464764315122,5
85,"-2.896*** (-3.117--2.702)","-0.32** (-0.552--0.105)","0.903*** (0.534-1.254)","0.844*** (0.504-1.169)","4.608*** (3.049-6.198)","1.238 (-0.595-3.125)","-0.135 (-0.294-0.016)","-0.163 (-0.364-0.02)",NA,NA,NA,NA,NA,"-0.009 (-0.286-0.115)",587.631803951808,19.1663896185165,6
86,"-2.792*** (-2.989--2.617)","-0.375*** (-0.6--0.164)","1.02*** (0.665-1.357)",NA,"4.543*** (3.115-5.992)","1.149 (-0.517-2.86)","-0.157* (-0.308--0.014)",NA,NA,NA,NA,NA,NA,NA,587.757123339866,19.2917090065752,3
87,"-2.9*** (-3.115--2.711)","-0.41*** (-0.64--0.194)","0.927*** (0.563-1.273)","0.826*** (0.487-1.149)","4.993*** (3.459-6.54)","0.916 (-0.887-2.797)",NA,"-0.164 (-0.366-0.018)","-0.057 (-0.172-0.052)","-0.107 (-0.278-0.029)",NA,NA,NA,NA,587.816524714694,19.3511103814031,6
