"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
1741,"-2.653*** (-2.816--2.506)",NA,NA,NA,"4.81*** (3.437-6.201)","0.842 (-0.726-2.453)","-0.276*** (-0.42--0.14)",NA,"-0.224** (-0.38--0.077)",NA,NA,"0.173* (0.017-0.336)",NA,"-0.001 (-0.195-0.074)",630.526161710323,62.0607473770318,4
1742,"-2.694*** (-2.874--2.534)","-0.415*** (-0.64--0.207)",NA,NA,"4.163*** (2.826-5.522)","1.432 (-0.119-3.016)","-0.188* (-0.338--0.047)",NA,NA,"-0.1 (-0.249-0.02)",NA,"0 (-0.106-0.109)",NA,"0.047 (-0.138-0.129)",630.574862658657,62.1094483253664,5
1743,"-2.868*** (-3.351--2.573)","-0.363*** (-0.587--0.155)",NA,NA,"4.288*** (2.955-5.637)","1.319 (-0.227-2.904)","-0.181* (-0.33--0.041)",NA,NA,NA,"-1.951 (-6.577--0.345)","0.015 (-0.091-0.124)",NA,"0.083 (-0.084-0.17)",630.590337362675,62.1249230293837,5
1744,"-2.688*** (-2.869--2.526)","-0.409*** (-0.635--0.198)",NA,NA,"4.116*** (2.776-5.478)","1.488 (-0.07-3.078)","-0.191* (-0.341--0.051)",NA,NA,"-0.101 (-0.249-0.02)",NA,"-0.001 (-0.107-0.108)","-0.336 (-1.503-0.531)",NA,630.601956619325,62.1365422860342,5
1745,"-2.657*** (-2.827--2.505)",NA,NA,NA,"4.214*** (2.843-5.604)","1.347 (-0.241-2.975)","-0.253*** (-0.401--0.111)","-0.266** (-0.459--0.082)",NA,"-0.055 (-0.203-0.064)",NA,"0.029 (-0.079-0.141)",NA,NA,630.609380382537,62.1439660492458,4
1746,"-3.096*** (-3.607--2.686)",NA,"0.986*** (0.628-1.327)",NA,"4.014*** (2.523-5.533)","1.673 (-0.074-3.46)","-0.213** (-0.364--0.069)","-0.289** (-0.489--0.098)",NA,"-0.079 (-0.243-0.05)","-3.991 (-8.825--1.561)","0.054 (-0.059-0.171)","-0.198 (-1.425-0.732)","0.017 (-0.23-0.119)",630.639170456997,62.1737561237057,8
1747,"-2.895*** (-3.357--2.569)",NA,NA,NA,"4.484*** (3.125-5.858)","1.077 (-0.48-2.676)","-0.264*** (-0.408--0.128)",NA,"-0.098 (-0.205-0.003)",NA,"-2.918 (-7.37--0.614)",NA,NA,"0.027 (-0.143-0.103)",630.679790644277,62.214376310986,4
1748,"-3.08*** (-3.574--2.7)",NA,NA,"0.929*** (0.604-1.241)","5.138*** (3.703-6.572)","0.553 (-1.114-2.301)",NA,"-0.32** (-0.519--0.13)",NA,"-0.024 (-0.177-0.098)","-3.617 (-8.325--1.329)","0.064 (-0.051-0.183)","-0.235 (-1.425-0.664)","0.028 (-0.211-0.129)",630.692172316579,62.2267579832883,7
1749,"-2.657*** (-2.826--2.504)",NA,NA,NA,"4.217*** (2.848-5.606)","1.34 (-0.246-2.966)","-0.253*** (-0.402--0.112)","-0.262** (-0.454--0.08)",NA,"-0.06 (-0.208-0.059)",NA,NA,NA,"-0.029 (-0.262-0.061)",630.695164074938,62.2297497416473,4
1750,"-2.875*** (-3.343--2.545)",NA,NA,NA,"4.471*** (3.111-5.846)","1.096 (-0.463-2.697)","-0.266*** (-0.41--0.13)",NA,"-0.1 (-0.208-0.001)",NA,"-2.733 (-7.237--0.488)",NA,"-0.218 (-1.345-0.614)",NA,630.702244654652,62.2368303213606,4
