"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","weights","model_id","Nparam"
"1033","X"," ","X"," ","X"," ","X","X","X","X","X",612.13701156849,43.6715972351993,2.2778242661144e-10,1926,8
"1034"," ","X","X","X"," ","X","X","X"," ","X"," ",612.141287780589,43.6758734472979,2.27295923909699e-10,1717,7
"1035","X","X"," "," ","X","X","X"," "," ","X","X",612.167552764311,43.7021384310199,2.2433047651469e-10,1596,7
"1036"," ","X"," "," ","X","X","X","X","X"," ","X",612.17052443377,43.7051101004787,2.23997406006961e-10,1774,7
"1037"," "," ","X","X","X","X"," ","X"," ","X"," ",612.190785468944,43.7253711356528,2.21739651764398e-10,1407,6
"1038"," ","X","X"," "," "," ","X","X","X"," ","X",612.258184309631,43.7927699763402,2.14391660931499e-10,1342,6
"1039","X","X","X","X"," "," ","X","X","X","X","X",612.300663995735,43.8352496624442,2.09886034485288e-10,2001,9
"1040","X","X","X","X","X"," "," ","X","X"," "," ",612.329447509178,43.8640331758866,2.0688703791549e-10,1495,7
"1041"," ","X","X"," "," ","X","X"," ","X"," ","X",612.369068860599,43.9036545273077,2.02828796872134e-10,1335,6
"1042","X","X"," ","X","X","X","X","X","X","X","X",612.4090267916,43.9436124583086,1.98816699568265e-10,2044,10
"1043"," ","X","X"," ","X","X"," "," ","X"," ","X",612.501693271441,44.0362789381498,1.89815026387092e-10,1319,6
"1044"," ","X","X"," "," "," "," "," "," "," "," ",612.503478624373,44.0380642910819,1.89645658586708e-10,22,2
"1045"," "," "," ","X","X","X","X","X","X"," "," ",612.509371335843,44.0439570025515,1.89087717363244e-10,1458,6
"1046","X","X"," "," ","X","X","X","X","X"," "," ",612.524822205487,44.0594078721961,1.87632560623587e-10,1591,7
"1047"," "," ","X","X","X","X","X","X"," ","X"," ",612.56683414933,44.1014198160389,1.83732264495427e-10,1781,7
"1048"," ","X"," ","X"," "," "," ","X"," "," "," ",612.582144172668,44.1167298393769,1.82331161438812e-10,123,3
"1049"," "," ","X"," "," "," ","X","X"," ","X"," ",612.591890268273,44.1264759349821,1.81444814333108e-10,483,4
"1050"," "," "," "," "," ","X","X","X","X"," "," ",612.620411419964,44.1549970866731,1.78875669081058e-10,547,4
"1051"," ","X","X","X","X"," ","X","X"," ","X"," ",612.640338447006,44.174924113715,1.77102288156522e-10,1707,7
"1052","X"," ","X"," "," "," ","X"," "," ","X"," ",612.640917967974,44.1755036346834,1.77050978345883e-10,288,4
"1053","X","X","X"," ","X","X"," ","X","X","X","X",612.658187872618,44.1927735393265,1.75528733304572e-10,2006,9
"1054","X"," "," ","X"," ","X","X","X","X","X","X",612.66760538522,44.2021910519295,1.74704154170199e-10,1934,8
"1055"," ","X","X","X","X"," "," ","X","X"," ","X",612.674490188517,44.2090758552258,1.74103786248574e-10,1713,7
"1056"," ","X","X","X","X","X"," ","X"," ","X"," ",612.696772257098,44.2313579238073,1.72174855091873e-10,1701,7
"1057"," "," ","X","X","X","X"," "," "," ","X","X",612.699085264706,44.2336709314147,1.71975849314706e-10,1411,6
"1058","X","X"," "," "," ","X","X"," ","X"," ","X",612.706063178148,44.2406488448572,1.71376878518537e-10,1139,6
"1059"," "," "," "," "," ","X","X"," ","X"," ","X",612.707773754761,44.24235942147,1.71230364543127e-10,551,4
"1060","X"," ","X"," ","X","X","X","X","X","X","X",612.71417614654,44.2487618132487,1.70683099023436e-10,2024,9
"1061"," "," "," "," "," "," "," ","X","X"," ","X",612.731193660181,44.2657793268895,1.69236959191479e-10,229,3
