"ID","(Intercept)","bordering_language_evenness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_richness","bordering_language_richness_perkm","altitude_range","area","L1_pop","roughness","vehicularity","islands11km","BIC","delta","Nparam"
1,"-2.763*** (-2.949--2.598)","-0.226*** (-0.361--0.097)","0.902*** (0.571-1.22)","0.892*** (0.589-1.183)","5.859*** (4.739-7.018)","-0.673 (-1.944-0.605)",NA,NA,NA,NA,NA,NA,NA,NA,770.172118308071,0,3
2,"-2.797*** (-2.983--2.63)",NA,"0.918*** (0.59-1.232)","0.858*** (0.556-1.148)","6.435*** (5.403-7.498)","-1.172* (-2.356-0.028)","-0.278** (-0.453--0.112)",NA,NA,NA,NA,NA,NA,NA,770.852228597099,0.680110289027652,3
3,"-2.808*** (-2.998--2.638)",NA,"0.898*** (0.567-1.215)","0.819*** (0.515-1.112)","6.188*** (5.13-7.275)","-0.848 (-2.072-0.397)","-0.248** (-0.42--0.085)","-0.234** (-0.414--0.062)",NA,NA,NA,NA,NA,NA,772.173568950178,2.00145064210676,4
4,"-2.787*** (-2.977--2.617)","-0.2** (-0.337--0.069)","0.887*** (0.553-1.207)","0.855*** (0.55-1.149)","5.749*** (4.619-6.916)","-0.491 (-1.779-0.807)",NA,"-0.219* (-0.401--0.046)",NA,NA,NA,NA,NA,NA,772.588546770849,2.41642846277819,4
5,"-2.794*** (-2.98--2.628)",NA,"0.926*** (0.597-1.24)","0.867*** (0.566-1.156)","6.528*** (5.485-7.597)","-1.268* (-2.463--0.049)",NA,"-0.26** (-0.441--0.089)",NA,NA,NA,NA,NA,NA,772.940865640463,2.7687473323922,3
6,"-2.784*** (-2.974--2.614)","-0.174* (-0.313--0.041)","0.89*** (0.558-1.208)","0.855*** (0.55-1.148)","5.806*** (4.692-6.959)","-0.56 (-1.825-0.71)","-0.205* (-0.385--0.038)",NA,NA,NA,NA,NA,NA,NA,772.941155533619,2.76903722554778,4
7,"-2.773*** (-2.953--2.612)",NA,"0.949*** (0.625-1.26)","0.914*** (0.617-1.2)","6.818*** (5.804-7.862)","-1.655** (-2.805--0.486)",NA,NA,NA,NA,NA,NA,NA,NA,773.47622120107,3.30410289299869,2
8,"-2.77*** (-2.954--2.604)","-0.226*** (-0.362--0.097)","0.897*** (0.566-1.214)","0.889*** (0.586-1.18)","5.934*** (4.811-7.092)","-0.685 (-1.955-0.595)",NA,NA,"-0.081 (-0.173-0.006)",NA,NA,NA,NA,NA,775.645371634542,5.47325332647131,4
9,"-2.799*** (-2.993--2.626)","-0.151* (-0.293--0.016)","0.876*** (0.542-1.197)","0.822*** (0.515-1.117)","5.693*** (4.569-6.854)","-0.381 (-1.665-0.911)","-0.187* (-0.365--0.025)","-0.206* (-0.388--0.033)",NA,NA,NA,NA,NA,NA,776.089612425886,5.91749411781495,5
10,"-2.797*** (-2.982--2.631)",NA,"0.915*** (0.588-1.229)","0.858*** (0.555-1.148)","6.496*** (5.459-7.564)","-1.179* (-2.368-0.027)","-0.267** (-0.442--0.101)",NA,"-0.069 (-0.161-0.018)",NA,NA,NA,NA,NA,777.242025099337,7.06990679126648,4
11,"-2.799*** (-2.986--2.632)",NA,"0.908*** (0.579-1.223)","0.847*** (0.544-1.138)","6.404*** (5.371-7.47)","-1.127 (-2.314-0.076)","-0.302*** (-0.48--0.133)",NA,NA,"0.071 (-0.043-0.136)",NA,NA,NA,NA,777.77490260951,7.60278430143899,4
12,"-2.769*** (-2.963--2.601)","-0.224*** (-0.359--0.095)","0.908*** (0.576-1.226)","0.894*** (0.591-1.186)","5.832*** (4.709-6.992)","-0.646 (-1.919-0.634)",NA,NA,NA,NA,"-0.126 (-1.202-0.04)",NA,NA,NA,777.844858666724,7.67274035865307,4
13,"-2.764*** (-2.95--2.598)","-0.225*** (-0.36--0.095)","0.9*** (0.569-1.217)","0.889*** (0.586-1.181)","5.855*** (4.735-7.013)","-0.668 (-1.939-0.61)",NA,NA,NA,NA,NA,"-0.026 (-0.117-0.067)",NA,NA,778.636666563919,8.4645482558484,4
14,"-2.765*** (-2.951--2.599)","-0.226*** (-0.361--0.097)","0.9*** (0.568-1.218)","0.891*** (0.588-1.182)","5.864*** (4.743-7.023)","-0.677 (-1.948-0.601)",NA,NA,NA,"0.022 (-0.1-0.084)",NA,NA,NA,NA,778.706483679544,8.53436537147263,4
15,"-2.757*** (-2.944--2.589)","-0.225*** (-0.36--0.097)","0.9*** (0.568-1.217)","0.89*** (0.588-1.182)","5.836*** (4.712-6.999)","-0.648 (-1.923-0.634)",NA,NA,NA,NA,NA,NA,"-0.15 (-0.924-0.441)",NA,778.734055344069,8.56193703599797,4
16,"-2.762*** (-2.948--2.596)","-0.229*** (-0.366--0.098)","0.903*** (0.571-1.221)","0.89*** (0.587-1.182)","5.816*** (4.669-7.006)","-0.633 (-1.929-0.665)",NA,NA,NA,NA,NA,NA,NA,"-0.019 (-0.153-0.094)",778.834683976136,8.66256566806555,4
17,"-2.8*** (-2.987--2.633)",NA,"0.924*** (0.596-1.238)","0.862*** (0.56-1.153)","6.426*** (5.395-7.49)","-1.164 (-2.348-0.037)","-0.275** (-0.45--0.107)",NA,NA,NA,"-0.066 (NA-0.056)",NA,NA,NA,779.009918627521,8.83780031945048,4
18,"-2.777*** (-2.956--2.616)",NA,"0.945*** (0.622-1.256)","0.912*** (0.614-1.199)","6.879*** (5.861-7.926)","-1.651** (-2.806--0.476)",NA,NA,"-0.08 (-0.172-0.007)",NA,NA,NA,NA,NA,779.01510288172,8.84298457364957,3
19,"-2.786*** (-2.976--2.617)","-0.177* (-0.317--0.044)","0.886*** (0.554-1.204)","0.854*** (0.549-1.148)","5.871*** (4.754-7.024)","-0.571 (-1.837-0.703)","-0.192* (-0.372--0.026)",NA,"-0.072 (-0.164-0.016)",NA,NA,NA,NA,NA,779.133595612013,8.96147730394182,5
20,"-2.796*** (-2.982--2.629)",NA,"0.915*** (0.589-1.229)","0.856*** (0.554-1.146)","6.417*** (5.383-7.482)","-1.151 (-2.338-0.053)","-0.277** (-0.451--0.111)",NA,NA,NA,NA,"-0.029 (-0.121-0.063)",NA,NA,779.223695858586,9.05157755051505,4
21,"-2.794*** (-2.98--2.627)",NA,"0.919*** (0.591-1.233)","0.852*** (0.55-1.143)","6.357*** (5.299-7.449)","-1.095 (-2.305-0.128)","-0.29** (-0.47--0.119)",NA,NA,NA,NA,NA,NA,"-0.037 (-0.17-0.077)",779.25354818876,9.08142988068869,4
22,"-2.799*** (-2.988--2.63)",NA,"0.918*** (0.591-1.233)","0.858*** (0.556-1.148)","6.439*** (5.407-7.505)","-1.177* (-2.363-0.024)","-0.28** (-0.456--0.112)",NA,NA,NA,NA,NA,"0.069 (-0.732-0.689)",NA,779.578091558274,9.40597325020292,4
23,"-2.795*** (-2.999--2.621)","-0.196** (-0.333--0.065)","0.89*** (0.556-1.211)","0.854*** (0.548-1.148)","5.701*** (4.566-6.873)","-0.442 (-1.736-0.862)",NA,"-0.227* (-0.41--0.053)",NA,NA,"-0.2 (-1.379-0.03)",NA,NA,NA,779.861670590601,9.6895522825298,5
24,"-2.807*** (-3.009--2.635)",NA,"0.926*** (0.597-1.242)","0.863*** (0.561-1.154)","6.449*** (5.394-7.53)","-1.188 (-2.395-0.044)",NA,"-0.27** (-0.452--0.098)",NA,NA,"-0.277 (-1.495-0.01)",NA,NA,NA,779.893074044208,9.72095573613672,4
25,"-2.809*** (-3--2.639)",NA,"0.892*** (0.56-1.21)","0.813*** (0.508-1.106)","6.177*** (5.12-7.265)","-0.831 (-2.055-0.413)","-0.267** (-0.444--0.1)","-0.221* (-0.403--0.048)",NA,"0.053 (-0.077-0.123)",NA,NA,NA,NA,780.018464069532,9.84634576146107,5
26,"-2.786*** (-2.975--2.617)","-0.204** (-0.341--0.072)","0.885*** (0.552-1.205)","0.858*** (0.553-1.152)","5.807*** (4.673-6.975)","-0.515 (-1.803-0.785)",NA,"-0.188* (-0.377--0.011)","-0.053 (-0.148-0.037)",NA,NA,NA,NA,NA,780.03059345983,9.85847515175908,5
27,"-2.812*** (-3.004--2.641)",NA,"0.904*** (0.573-1.221)","0.823*** (0.519-1.116)","6.17*** (5.112-7.259)","-0.83 (-2.055-0.417)","-0.242** (-0.416--0.077)","-0.238** (-0.419--0.066)",NA,NA,"-0.085 (NA-0.049)",NA,NA,NA,780.07901248025,9.90689417217948,5
28,"-2.806*** (-2.996--2.637)",NA,"0.898*** (0.568-1.214)","0.823*** (0.518-1.115)","6.239*** (5.174-7.333)","-0.875 (-2.101-0.374)","-0.244** (-0.417--0.082)","-0.213* (-0.4--0.037)","-0.039 (-0.134-0.051)",NA,NA,NA,NA,NA,780.22824565189,10.0561273438185,5
29,"-2.788*** (-2.979--2.617)","-0.169* (-0.309--0.036)","0.883*** (0.549-1.202)","0.845*** (0.54-1.14)","5.803*** (4.689-6.956)","-0.545 (-1.809-0.725)","-0.229* (-0.412--0.058)",NA,NA,"0.06 (-0.054-0.126)",NA,NA,NA,NA,780.286895221818,10.1147769137468,5
30,"-2.805*** (-2.995--2.634)",NA,"0.899*** (0.568-1.216)","0.811*** (0.506-1.104)","6.084*** (5.001-7.2)","-0.745 (-1.995-0.522)","-0.264** (-0.442--0.096)","-0.237** (-0.418--0.066)",NA,NA,NA,NA,NA,"-0.047 (-0.182-0.068)",780.3373657965,10.1652474884293,5
31,"-2.793*** (-2.977--2.628)",NA,"0.925*** (0.597-1.239)","0.87*** (0.57-1.16)","6.585*** (5.536-7.659)","-1.296* (-2.493--0.073)",NA,"-0.235** (-0.422--0.059)","-0.046 (-0.14-0.044)",NA,NA,NA,NA,NA,780.712148932763,10.5400306246917,4
32,"-2.776*** (-2.968--2.605)","-0.199** (-0.336--0.068)","0.883*** (0.548-1.203)","0.851*** (0.546-1.145)","5.707*** (4.572-6.879)","-0.443 (-1.737-0.862)",NA,"-0.225* (-0.408--0.051)",NA,NA,NA,NA,"-0.239 (-1.026-0.361)",NA,780.839145664755,10.6670273566837,5
33,"-2.806*** (-2.999--2.634)",NA,"0.897*** (0.567-1.214)","0.819*** (0.515-1.112)","6.183*** (5.123-7.273)","-0.843 (-2.069-0.404)","-0.246** (-0.421--0.081)","-0.235** (-0.417--0.062)",NA,NA,NA,NA,"-0.044 (-0.861-0.585)",NA,780.920791168685,10.7486728606141,5
34,"-2.808*** (-2.998--2.638)",NA,"0.898*** (0.567-1.215)","0.819*** (0.515-1.112)","6.187*** (5.129-7.275)","-0.847 (-2.071-0.398)","-0.248** (-0.42--0.085)","-0.232** (-0.417--0.058)",NA,NA,NA,"-0.003 (-0.098-0.093)",NA,NA,780.93164591114,10.7595276030694,5
35,"-2.78*** (-2.97--2.61)","-0.179* (-0.319--0.046)","0.891*** (0.558-1.209)","0.846*** (0.54-1.141)","5.682*** (4.542-6.866)","-0.439 (-1.732-0.852)","-0.22* (-0.404--0.049)",NA,NA,NA,NA,NA,NA,"-0.052 (-0.187-0.063)",780.979427473642,10.8073091655712,5
36,"-2.78*** (-2.972--2.616)",NA,"0.954*** (0.629-1.265)","0.916*** (0.618-1.203)","6.782*** (5.763-7.829)","-1.619** (-2.773--0.447)",NA,NA,NA,NA,"-0.15 (-1.267-0.036)",NA,NA,NA,781.031373531936,10.8592552238654,3
37,"-2.787*** (-2.978--2.616)","-0.174* (-0.314--0.042)","0.896*** (0.563-1.214)","0.859*** (0.554-1.153)","5.793*** (4.678-6.946)","-0.547 (-1.813-0.725)","-0.201* (-0.381--0.032)",NA,NA,NA,"-0.07 (NA-0.054)",NA,NA,NA,781.033000662353,10.8608823542824,5
38,"-2.783*** (-2.97--2.615)",NA,"0.92*** (0.592-1.235)","0.862*** (0.562-1.152)","6.476*** (5.426-7.553)","-1.209* (-2.413-0.019)",NA,"-0.268** (-0.449--0.095)",NA,NA,NA,NA,"-0.256 (-1.041-0.338)",NA,781.098303530474,10.9261852224033,4
39,"-2.785*** (-2.975--2.614)","-0.205** (-0.344--0.072)","0.888*** (0.554-1.208)","0.852*** (0.546-1.145)","5.681*** (4.525-6.879)","-0.428 (-1.741-0.891)",NA,"-0.221* (-0.403--0.048)",NA,NA,NA,NA,NA,"-0.03 (-0.164-0.084)",781.115692078502,10.9435737704306,5
40,"-2.787*** (-2.977--2.617)","-0.2** (-0.337--0.069)","0.887*** (0.553-1.207)","0.855*** (0.55-1.148)","5.752*** (4.621-6.919)","-0.494 (-1.782-0.805)",NA,"-0.217* (-0.4--0.043)",NA,"0.007 (-0.133-0.076)",NA,NA,NA,NA,781.328723587264,11.1566052791926,5
41,"-2.787*** (-2.977--2.617)","-0.2** (-0.337--0.069)","0.887*** (0.553-1.207)","0.855*** (0.55-1.149)","5.749*** (4.619-6.916)","-0.491 (-1.779-0.807)",NA,"-0.218* (-0.403--0.042)",NA,NA,NA,"-0.001 (-0.096-0.094)",NA,NA,781.349490668355,11.1773723602845,5
42,"-2.784*** (-2.974--2.614)","-0.172* (-0.312--0.04)","0.888*** (0.556-1.206)","0.852*** (0.547-1.146)","5.8*** (4.686-6.953)","-0.553 (-1.818-0.718)","-0.204* (-0.384--0.038)",NA,NA,NA,NA,"-0.025 (-0.116-0.069)",NA,NA,781.433248505128,11.2611301970569,5
43,"-2.785*** (-2.977--2.612)","-0.173* (-0.313--0.041)","0.89*** (0.558-1.209)","0.855*** (0.55-1.148)","5.809*** (4.692-6.964)","-0.563 (-1.83-0.71)","-0.206* (-0.387--0.036)",NA,NA,NA,NA,NA,"0.02 (-0.783-0.646)",NA,781.699867785846,11.5277494777754,5
44,"-2.794*** (-2.98--2.628)",NA,"0.925*** (0.597-1.24)","0.867*** (0.566-1.156)","6.528*** (5.485-7.599)","-1.269* (-2.465--0.049)",NA,"-0.26** (-0.442--0.087)",NA,"0.002 (-0.149-0.075)",NA,NA,NA,NA,781.701391451809,11.5292731437385,4
45,"-2.794*** (-2.98--2.628)",NA,"0.925*** (0.597-1.24)","0.867*** (0.566-1.156)","6.527*** (5.485-7.597)","-1.268* (-2.463--0.049)",NA,"-0.26** (-0.444--0.085)",NA,NA,NA,"-0.001 (-0.095-0.094)",NA,NA,781.70205706164,11.5299387535694,4
46,"-2.794*** (-2.98--2.628)",NA,"0.925*** (0.597-1.24)","0.867*** (0.566-1.157)","6.529*** (5.47-7.617)","-1.27* (-2.478--0.039)",NA,"-0.26** (-0.441--0.089)",NA,NA,NA,NA,NA,"0.001 (-0.132-0.112)",781.702560228528,11.5304419204571,4
47,"-2.773*** (-2.954--2.612)",NA,"0.947*** (0.623-1.257)","0.912*** (0.615-1.199)","6.803*** (5.788-7.848)","-1.636** (-2.789--0.464)",NA,NA,NA,NA,NA,"-0.031 (-0.122-0.061)",NA,NA,781.80036555834,11.6282472502694,3
48,"-2.774*** (-2.954--2.612)",NA,"0.947*** (0.623-1.258)","0.913*** (0.615-1.199)","6.822*** (5.808-7.867)","-1.658** (-2.808--0.489)",NA,NA,NA,"0.023 (-0.106-0.087)",NA,NA,NA,NA,782.021217134195,11.8490988261243,3
49,"-2.767*** (-2.949--2.603)",NA,"0.947*** (0.623-1.258)","0.912*** (0.615-1.199)","6.795*** (5.778-7.844)","-1.629** (-2.785--0.456)",NA,NA,NA,NA,NA,NA,"-0.146 (-0.915-0.438)",NA,782.04359771256,11.8714794044896,3
50,"-2.774*** (-2.955--2.612)",NA,"0.948*** (0.624-1.259)","0.915*** (0.618-1.201)","6.839*** (5.809-7.902)","-1.674** (-2.838--0.494)",NA,NA,NA,NA,NA,NA,NA,"0.014 (-0.117-0.124)",782.185689138579,12.0135708305082,3
51,"-2.773*** (-2.957--2.608)","-0.23*** (-0.365--0.101)","0.9*** (0.567-1.219)","0.896*** (0.593-1.187)","6.017*** (4.884-7.186)","-0.729 (-2.002-0.555)",NA,NA,"-0.142* (-0.279--0.01)",NA,NA,"0.087 (-0.053-0.23)",NA,NA,782.934242447015,12.7621241389439,5
52,"-2.774*** (-2.968--2.607)","-0.225*** (-0.36--0.096)","0.902*** (0.57-1.22)","0.891*** (0.587-1.183)","5.906*** (4.781-7.066)","-0.658 (-1.931-0.624)",NA,NA,"-0.08 (-0.172-0.007)",NA,"-0.124 (-1.197-0.041)",NA,NA,NA,783.373427487017,13.2013091789458,5
53,"-2.795*** (-2.989--2.622)","-0.158* (-0.3--0.022)","0.877*** (0.542-1.197)","0.811*** (0.503-1.107)","5.543*** (4.395-6.737)","-0.235 (-1.547-1.077)","-0.205* (-0.387--0.038)","-0.21* (-0.393--0.038)",NA,NA,NA,NA,NA,"-0.061 (-0.197-0.055)",783.868179989402,13.696061681331,6
54,"-2.798*** (-2.99--2.626)","-0.156* (-0.298--0.02)","0.875*** (0.541-1.195)","0.825*** (0.518-1.121)","5.743*** (4.614-6.907)","-0.404 (-1.688-0.891)","-0.181* (-0.36--0.019)","-0.18* (-0.369--0.003)","-0.046 (-0.141-0.044)",NA,NA,NA,NA,NA,783.877744422328,13.7056261142566,6
55,"-2.803*** (-2.999--2.629)","-0.151* (-0.293--0.017)","0.882*** (0.547-1.203)","0.826*** (0.519-1.121)","5.672*** (4.547-6.835)","-0.36 (-1.645-0.934)","-0.181* (-0.361--0.016)","-0.21* (-0.393--0.037)",NA,NA,"-0.087 (NA-0.048)",NA,NA,NA,783.963808988295,13.7916906802244,6
56,"-2.766*** (-2.951--2.601)","-0.233*** (-0.371--0.102)","0.898*** (0.566-1.215)","0.884*** (0.581-1.177)","5.848*** (4.703-7.033)","-0.601 (-1.896-0.698)",NA,NA,"-0.086 (-0.179-0.003)",NA,NA,NA,NA,"-0.04 (-0.175-0.075)",783.994289486559,13.8221711784877,5
57,"-2.801*** (-2.996--2.628)","-0.149* (-0.29--0.014)","0.871*** (0.536-1.192)","0.816*** (0.509-1.112)","5.695*** (4.571-6.856)","-0.377 (-1.66-0.914)","-0.207* (-0.389--0.038)","-0.194* (-0.378--0.021)",NA,"0.046 (-0.083-0.116)",NA,NA,NA,NA,784.10941144377,13.9372931356992,6
58,"-2.762*** (-2.949--2.595)","-0.226*** (-0.361--0.097)","0.894*** (0.563-1.211)","0.887*** (0.583-1.179)","5.909*** (4.783-7.071)","-0.657 (-1.932-0.627)",NA,NA,"-0.081 (-0.173-0.006)",NA,NA,NA,"-0.164 (-0.946-0.431)",NA,784.170692622533,13.9985743144625,5
59,"-2.77*** (-2.956--2.605)","-0.227*** (-0.362--0.097)","0.895*** (0.564-1.213)","0.888*** (0.584-1.179)","5.936*** (4.813-7.094)","-0.686 (-1.957-0.594)",NA,NA,"-0.08 (-0.172-0.007)","0.018 (-0.11-0.081)",NA,NA,NA,NA,784.268874654318,14.0967563462472,5
60,"-2.8*** (-2.985--2.633)",NA,"0.906*** (0.578-1.221)","0.847*** (0.544-1.139)","6.461*** (5.423-7.53)","-1.133 (-2.324-0.075)","-0.291** (-0.469--0.121)",NA,"-0.065 (-0.158-0.023)","0.066 (-0.052-0.132)",NA,NA,NA,NA,784.436265090252,14.2641467821813,5
61,"-2.796*** (-2.992--2.621)","-0.152* (-0.293--0.017)","0.875*** (0.541-1.196)","0.821*** (0.514-1.117)","5.683*** (4.555-6.848)","-0.371 (-1.658-0.925)","-0.184* (-0.365--0.018)","-0.208* (-0.391--0.034)",NA,NA,NA,NA,"-0.074 (-0.89-0.56)",NA,784.810270293555,14.6381519854839,6
62,"-2.799*** (-2.993--2.626)","-0.151* (-0.293--0.016)","0.876*** (0.542-1.197)","0.822*** (0.515-1.117)","5.693*** (4.568-6.854)","-0.381 (-1.665-0.911)","-0.187* (-0.365--0.025)","-0.205* (-0.391--0.029)",NA,NA,NA,"-0.002 (-0.097-0.094)",NA,NA,784.849964674905,14.6778463668337,6
63,"-2.807*** (-2.997--2.638)",NA,"0.918*** (0.588-1.233)","0.853*** (0.55-1.144)","6.384*** (5.35-7.451)","-1.102 (-2.291-0.101)","-0.303*** (-0.481--0.133)",NA,NA,"0.083* (-0.022-0.148)","-0.11 (NA-0.037)",NA,NA,NA,785.07182219423,14.8997038861595,5
64,"-2.793*** (-2.977--2.627)",NA,"0.916*** (0.589-1.23)","0.848*** (0.545-1.14)","6.383*** (5.322-7.477)","-1.062 (-2.279-0.17)","-0.285** (-0.465--0.114)",NA,"-0.076 (-0.17-0.013)",NA,NA,NA,NA,"-0.054 (-0.189-0.062)",785.234379613311,15.0622613052396,5
65,"-2.799*** (-2.984--2.634)",NA,"0.919*** (0.59-1.233)","0.862*** (0.559-1.152)","6.57*** (5.515-7.656)","-1.231* (-2.427--0.017)","-0.262** (-0.438--0.096)",NA,"-0.108 (-0.245-0.023)",NA,NA,"0.055 (-0.083-0.197)",NA,NA,785.399976612672,15.2278583046015,5
66,"-2.801*** (-2.987--2.634)",NA,"0.921*** (0.593-1.235)","0.862*** (0.559-1.152)","6.487*** (5.45-7.555)","-1.171 (-2.36-0.035)","-0.263** (-0.439--0.096)",NA,"-0.069 (-0.161-0.019)",NA,"-0.066 (NA-0.058)",NA,NA,NA,785.425974040378,15.2538557323069,5
67,"-2.774*** (-2.976--2.604)","-0.224*** (-0.359--0.095)","0.905*** (0.572-1.224)","0.892*** (0.588-1.184)","5.831*** (4.706-6.993)","-0.642 (-1.917-0.639)",NA,NA,NA,"0.037 (-0.076-0.101)","-0.19 (-1.397-0.035)",NA,NA,NA,785.931822871508,15.7597045634374,5
68,"-2.799*** (-2.987--2.631)",NA,"0.916*** (0.589-1.229)","0.858*** (0.555-1.148)","6.499*** (5.461-7.568)","-1.183* (-2.373-0.025)","-0.268** (-0.445--0.101)",NA,"-0.069 (-0.161-0.019)",NA,NA,NA,"0.047 (-0.76-0.668)",NA,785.987678290492,15.815559982421,5
69,"-2.796*** (-2.983--2.629)",NA,"0.909*** (0.58-1.224)","0.841*** (0.538-1.133)","6.327*** (5.268-7.421)","-1.051 (-2.263-0.174)","-0.314*** (-0.497--0.14)",NA,NA,"0.071 (-0.043-0.136)",NA,NA,NA,"-0.036 (-0.17-0.077)",786.182428487639,16.0103101795683,5
70,"-2.799*** (-2.985--2.631)",NA,"0.906*** (0.578-1.221)","0.845*** (0.542-1.136)","6.388*** (5.352-7.455)","-1.107 (-2.297-0.099)","-0.301*** (-0.479--0.132)",NA,NA,"0.069 (-0.045-0.135)",NA,"-0.027 (-0.119-0.067)",NA,NA,786.216342419047,16.0442241109764,5
71,"-2.769*** (-2.964--2.601)","-0.223*** (-0.358--0.094)","0.905*** (0.574-1.223)","0.892*** (0.588-1.184)","5.828*** (4.705-6.988)","-0.641 (-1.914-0.639)",NA,NA,NA,NA,"-0.126 (-1.208-0.04)","-0.024 (-0.116-0.068)",NA,NA,786.338772081258,16.1666537731869,5
72,"-2.796*** (-2.984--2.626)",NA,"0.907*** (0.578-1.222)","0.846*** (0.544-1.138)","6.395*** (5.36-7.462)","-1.116 (-2.305-0.089)","-0.301*** (-0.479--0.13)",NA,NA,"0.076 (-0.044-0.15)",NA,NA,"-0.106 (-0.98-0.587)",NA,786.465873130175,16.2937548221037,5
73,"-2.767*** (-2.962--2.599)","-0.228*** (-0.365--0.097)","0.908*** (0.576-1.226)","0.892*** (0.589-1.184)","5.783*** (4.633-6.975)","-0.601 (-1.899-0.699)",NA,NA,NA,NA,"-0.129 (-1.21-0.039)",NA,NA,"-0.021 (-0.155-0.092)",786.485322122365,16.313203814294,5
74,"-2.78*** (-2.97--2.611)","-0.184** (-0.325--0.05)","0.886*** (0.554-1.204)","0.842*** (0.535-1.136)","5.706*** (4.569-6.887)","-0.404 (-1.697-0.89)","-0.212* (-0.396--0.041)",NA,"-0.081 (-0.174-0.008)",NA,NA,NA,NA,"-0.07 (-0.207-0.047)",786.590452158309,16.4183338502379,6
75,"-2.768*** (-2.969--2.597)","-0.224*** (-0.359--0.095)","0.907*** (0.575-1.226)","0.894*** (0.591-1.186)","5.83*** (4.705-6.993)","-0.644 (-1.92-0.638)",NA,NA,NA,NA,"-0.122 (NA-0.051)",NA,"-0.017 (-0.832-0.632)",NA,786.604515318561,16.4323970104901,5
76,"-2.783*** (-2.974--2.62)",NA,"0.95*** (0.625-1.261)","0.914*** (0.615-1.201)","6.843*** (5.82-7.893)","-1.616** (-2.774--0.437)",NA,NA,"-0.08 (-0.171-0.008)",NA,"-0.149 (-1.267-0.037)",NA,NA,NA,786.610115834058,16.4379975259875,4
77,"-2.779*** (-2.957--2.619)",NA,"0.949*** (0.624-1.261)","0.915*** (0.617-1.201)","6.963*** (5.931-8.026)","-1.705** (-2.864--0.524)",NA,NA,"-0.132 (-0.269-0)",NA,NA,"0.073 (-0.066-0.215)",NA,NA,786.728114573835,16.5559962657637,4
78,"-2.79*** (-2.98--2.62)","-0.172* (-0.312--0.039)","0.88*** (0.547-1.199)","0.845*** (0.539-1.14)","5.862*** (4.746-7.015)","-0.553 (-1.819-0.72)","-0.215* (-0.399--0.044)",NA,"-0.069 (-0.161-0.019)","0.055 (-0.064-0.122)",NA,NA,NA,NA,786.735327378172,16.5632090701013,6
79,"-2.788*** (-2.977--2.62)","-0.182** (-0.322--0.049)","0.889*** (0.556-1.209)","0.861*** (0.556-1.155)","5.944*** (4.816-7.109)","-0.613 (-1.883-0.665)","-0.183* (-0.364--0.018)",NA,"-0.123 (-0.261-0.009)",NA,NA,"0.072 (-0.067-0.215)",NA,NA,786.872943268753,16.7008249606826,6
80,"-2.755*** (-2.942--2.587)","-0.226*** (-0.361--0.097)","0.895*** (0.563-1.214)","0.887*** (0.584-1.179)","5.829*** (4.704-6.991)","-0.635 (-1.911-0.648)",NA,NA,NA,"0.035 (-0.091-0.106)",NA,NA,"-0.245 (-1.078-0.408)",NA,787.016311910805,16.8441936027338,5
81,"-2.817*** (-3.013--2.645)",NA,"0.9*** (0.568-1.219)","0.818*** (0.513-1.112)","6.15*** (5.09-7.239)","-0.798 (-2.024-0.449)","-0.267** (-0.445--0.097)","-0.223* (-0.405--0.05)",NA,"0.068 (-0.051-0.137)","-0.126 (NA-0.036)",NA,NA,NA,787.187982235387,17.0158639273164,6
82,"-2.757*** (-2.945--2.59)","-0.225*** (-0.36--0.095)","0.897*** (0.566-1.215)","0.887*** (0.584-1.179)","5.832*** (4.708-6.994)","-0.641 (-1.917-0.641)",NA,NA,NA,NA,NA,"-0.026 (-0.118-0.067)","-0.151 (-0.926-0.44)",NA,787.194806457493,17.0226881494218,5
83,"-2.765*** (-2.951--2.599)","-0.225*** (-0.361--0.096)","0.898*** (0.567-1.216)","0.888*** (0.585-1.18)","5.86*** (4.739-7.018)","-0.671 (-1.942-0.607)",NA,NA,NA,"0.021 (-0.103-0.084)",NA,"-0.025 (-0.116-0.068)",NA,NA,787.196497885645,17.0243795775737,5
84,"-2.789*** (-2.98--2.619)","-0.177* (-0.317--0.044)","0.892*** (0.559-1.21)","0.858*** (0.552-1.152)","5.857*** (4.74-7.011)","-0.558 (-1.825-0.717)","-0.187* (-0.368--0.02)",NA,"-0.072 (-0.164-0.016)",NA,"-0.07 (NA-0.055)",NA,NA,NA,787.256693030643,17.0845747225721,6
85,"-2.762*** (-2.948--2.596)","-0.229*** (-0.366--0.098)","0.901*** (0.57-1.218)","0.887*** (0.583-1.179)","5.806*** (4.658-6.995)","-0.621 (-1.917-0.677)",NA,NA,NA,NA,NA,"-0.027 (-0.119-0.066)",NA,"-0.022 (-0.157-0.091)",787.267801977646,17.095683669575,5
86,"-2.763*** (-2.949--2.597)","-0.229*** (-0.366--0.098)","0.901*** (0.569-1.219)","0.889*** (0.586-1.181)","5.825*** (4.676-7.015)","-0.64 (-1.936-0.659)",NA,NA,NA,"0.021 (-0.102-0.084)",NA,NA,NA,"-0.018 (-0.152-0.096)",787.385364446806,17.2132461387347,5
