"ID","(Intercept)","bordering_language_evenness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_richness","bordering_language_richness_perkm","altitude_range","area","L1_pop","roughness","vehicularity","islands11km","BIC","delta","Nparam"
1678,"-2.62*** (-2.779--2.474)",NA,NA,NA,"5.544*** (4.581-6.524)","-0.24 (-1.358-0.9)","-0.337*** (-0.512--0.172)","-0.283** (-0.462--0.114)",NA,"0.075 (-0.033-0.146)",NA,NA,"-0.267 (-1.142-0.408)","-0.058 (-0.181-0.047)",836.060036919731,65.8879186116603,5
1679,"-2.698*** (-2.883--2.539)","-0.188** (-0.325--0.057)","0.991*** (0.665-1.304)",NA,"5.454*** (4.371-6.571)","-0.151 (-1.376-1.078)","-0.273** (-0.459--0.098)",NA,"-0.125 (-0.264-0.009)","0.074 (-0.031-0.145)","-0.098 (NA-0.051)","0.063 (-0.075-0.205)","-0.029 (-0.942-0.682)","-0.09 (-0.223-0.024)",836.152225248472,65.9801069404008,9
1680,"-2.639*** (-2.822--2.485)",NA,NA,NA,"5.648*** (4.707-6.605)","-0.345 (-1.441-0.776)","-0.312*** (-0.486--0.147)","-0.282** (-0.462--0.113)",NA,"0.082* (-0.021-0.153)","-0.211 (-1.457-0.056)",NA,"-0.17 (-1.066-0.52)",NA,836.197257395378,66.0251390873071,5
1681,"-2.558*** (-2.698--2.429)",NA,NA,NA,"6.383*** (5.492-7.29)","-1.323** (-2.339--0.285)",NA,NA,NA,"0.027 (-0.075-0.084)",NA,NA,NA,NA,836.26988315597,66.0977648478993,1
1682,"-2.659*** (-2.818--2.513)",NA,"1.053*** (0.737-1.356)",NA,"6.674*** (5.687-7.684)","-1.472** (-2.582--0.341)",NA,NA,"-0.131 (-0.269-0.002)","0.037 (-0.086-0.107)",NA,"0.068 (-0.069-0.208)","-0.295 (-1.118-0.336)","-0.018 (-0.147-0.091)",836.331075213795,66.1589569057245,6
1683,"-2.614*** (-2.79--2.467)","-0.195** (-0.33--0.068)",NA,NA,"5.335*** (4.339-6.353)","-0.099 (-1.228-1.043)","-0.264** (-0.442--0.096)",NA,"-0.068 (-0.157-0.016)","0.075* (-0.017-0.139)","-0.144 (-1.309-0.043)",NA,NA,NA,836.355955840382,66.1838375323115,5
1684,"-2.647*** (-2.827--2.494)",NA,NA,NA,"5.657*** (4.715-6.612)","-0.356 (-1.451-0.764)","-0.314*** (-0.487--0.149)","-0.279** (-0.462--0.107)",NA,"0.077* (-0.024-0.143)","-0.261 (-1.492-0.041)","-0.004 (-0.095-0.089)",NA,NA,836.379443259632,66.2073249515611,5
1685,"-2.583*** (-2.733--2.445)",NA,NA,NA,"5.991*** (5.063-6.931)","-0.79 (-1.862-0.311)",NA,"-0.338*** (-0.519--0.166)",NA,NA,NA,"-0.003 (-0.094-0.088)","-0.392 (-1.163-0.178)",NA,836.385985473716,66.213867165645,3
1686,"-2.583*** (-2.733--2.445)",NA,NA,NA,"5.985*** (5.04-6.943)","-0.784 (-1.871-0.329)",NA,"-0.34*** (-0.517--0.171)",NA,NA,NA,NA,"-0.393 (-1.164-0.177)","-0.004 (-0.124-0.097)",836.386231209803,66.2141129017316,3
1687,"-2.608*** (-2.76--2.469)",NA,NA,NA,"5.874*** (4.934-6.834)","-0.609 (-1.693-0.495)","-0.383*** (-0.558--0.216)",NA,"-0.074 (-0.164-0.012)","0.079* (-0.015-0.14)",NA,NA,NA,"-0.067 (-0.189-0.038)",836.410790918992,66.2386726109213,4
